"scientific name","family name","common name","synonyms"
"thelypteris palustris var. pubescens","thelypteridaceae","eastern marsh fern","NULL"
"thuja occidentalis","cupressaceae","arborvitae","NULL"
"thuja plicata","cupressaceae","western red cedar","NULL"
"tiarella cordifolia","saxifragaceae","heart leaf foam flower","NULL"
"tiarella trifoliata","saxifragaceae","threeleaf foamflower","NULL"
"tilia americana ssp. heterophylla","tiliaceae","white basswood","tilia heterophylla"
"tillandsia usneoides","bromeliaceae","spanish moss","NULL"
"tipularia discolor","orchidaceae","cranefly orchid","NULL"
"torilis arvensis","apiaceae","field hedge parsley","spreading hedge parsley torilis japonica"
"tofieldia racemosa","liliaceae","coastal false asphodel","triantha racemosa"
"toxicodendron  radicans","anacardiaceae","eastern poison ivy","rhus radicans"
"tradescantia subaspera","commelinaceae","wide leaved spiderwort","zigzag spiderwort harsh spiderwort"
"tradescantia virginiana","commelinaceae","virginia spiderwort","NULL"
"trichostema brachiatum","lamiaceae","fluxweed","isanthus brachiatus"
"tragia cordata","euphorbiaceae","heartleaf noseburn","heart leaved tragia"
"tragopogon dubius","asteraceae","yellow goatsbeard","yellow salsify"
"trifolium campestre","fabaceae","low hop trefoil","field clover trifolium procumbens"
"trifolium dubium","fabaceae","least hop trefoil","least hop clover suckling clover"
"trifolium hybridum","fabaceae","alsike clover","NULL"
"trifolium pratense","fabaceae","red clover","NULL"
"trifolium repens","fabaceae","white clover","NULL"
"trillium cuneatum","liliaceae","little sweet betsy","NULL"
"trillium flexipes","liliaceae","white trillium","bent trillium nodding wakerobin"
"trillium recurvatum","liliaceae","prairie trillium","bloody butcher"
"trillium sessile","liliaceae","sessile trillium","NULL"
"trillium stamineum","liliaceae","twisted petal trillium","NULL"
"triodanis perfoliata","campanulaceae","clasping venus' looking-glass","NULL"
"triosteum angustifolium","caprifoliaceae","yellow fruit horse gentian","NULL"
"triticum aestivum","poaceae","common wheat","NULL"
"tsuga canadensis","pinaceae","eastern hemlock","NULL"
"tsuga heterophylla","pinaceae","western hemlock","NULL"
"tsuga mertensiana","pinaceae","mountain hemlock","NULL"
"tussilago farfara","asteraceae","coltsfoot","NULL"
"typha latifolia","typhaceae","broadleaf cattail","NULL"
"ulmus alata","ulmaceae","winged elm","NULL"
"ulmus americana","ulmaceae","american elm","NULL"
"ulmus rubra","ulmaceae","slippery elm","NULL"
"ulmus serotina","ulmaceae","september elm","NULL"
"urtica chamaedryoides","urticaceae","heartleaf nettle","NULL"
"utricularia sp.","lentibulariaceae","bladderwort","NULL"
"uvularia grandiflora","liliaceae","large flower bellwort","NULL"
"uvularia perfoliata","liliaceae","perfoliate bellwort","NULL"
"vaccinium arboreum","ericaceae","farkleberry","sparkleberry"
"vaccinium pallidum","ericaceae","lowbush blueberry","blue ridge blueberry"
"vaccinium parvifolium","ericaceae","red huckleberry","NULL"
"valeriana pauciflora","valerianaceae","largeflower valerian","NULL"
"vaccinium stamineum","ericaceae","deerberry","NULL"
"valerianella radiata","valerianaceae","beaked corn salad","NULL"
"valerianella umbilicata","valerianaceae","navel cornsalad","NULL"
"veratrum viride","liliaceae","green false hellebore","NULL"
"verbascum blattaria","scrophulariaceae","moth mullein","NULL"
"verbascum thapsus","scrophulariaceae","common mullein","NULL"
"verbena simplex","verbenaceae","narrow leaf vervain","narrow leaved vervain"
"verbena urticifolia","verbenaceae","white vervain","NULL"
"verbesina alternifolia","asteraceae","yellow wingstem","wingstem actinomeris alternifolia"
"verbesina virginica","asteraceae","white crownbeard","frostweed"
"vernonia gigantea","asteraceae","giant ironweed","NULL"
"veronica hederifolia","scrophulariaceae","ivy leaf speedwell","ivy leaved speedwell"
"veronica persica","scrophulariaceae","birdeye speedwell","NULL"
"veronica polita","scrophulariaceae","gray field speedwell","NULL"
"veronica serpyllifolia","scrophulariaceae","thymeleaf speedwell","NULL"
"viburnum acerifolium","caprifoliaceae","maple leaf viburnum","NULL"
"viburnum dentatum","caprifoliaceae","arrowwood","NULL"
"viburnum lantanoides","caprifoliaceae","hobblebush","witch hobble"
"viburnum opulus var. americanum","caprifoliaceae","high bush cranberry","viburnum trilobum"
"viburnum prunifolium","caprifoliaceae","blackhaw","NULL"
"viburnum rufidulum","caprifoliaceae","rusty blackhaw","NULL"
"vicia caroliniana","fabaceae","wood vetch","white vetch carolina vetch"
"vicia sativa ssp. nigra","fabaceae","purple vetch","garden vetch vicia angustifolia"
"vicia villosa  ssp. varia","fabaceae","smooth vetch","winter vetch"
"vinca minor","apocynaceae","common periwinkle","NULL"
"viola bicolor","violaceae","field pansy","viola rafinesquei"
"viola canadensis","violaceae","canadian white violet","NULL"
"viola egglestonii","violaceae","glade violet","NULL"
"viola palmata","violaceae","three lobed violet","early blue violet"
"viola pedata","violaceae","bird foot violet","NULL"
"viola pubescens","violaceae","downy yellow violet","viola eriocarpa yellow woodland violet"
"viola sororia","violaceae","common blue violet","NULL"
"viola striata","violaceae","striped cream violet","NULL"
"vitis vulpina","vitaceae","frost grape","winter grape"
"wisteria frutescens","fabaceae","american wisteria","NULL"
"wisteria sinensis","fabaceae","chinese wisteria","NULL"
"woodsia obtusa","dryopteridaceae","blunt lobe cliff fern","NULL"
"xanthium strumarium","asteraceae","rough cockleburr","NULL"
"xyris caroliniana","xyridaceae","carolina yellow eyed grass","NULL"
"xyris tennesseensis","xyridaceae","tennessee yelloweyed grass","NULL"
"yucca brevifolia","agavaceae","joshua tree","tree yucca yucca palm"
"yucca elata","agavaceae","soaptree yucca","NULL"
"yucca flaccida","agavaceae","adam's needle","spanish bayonet"
"yucca schottii","agavaceae","schott's yucca","mountain yucca"
"zanthoxylum americanum","rutaceae","common prickly ash","NULL"
"zizia aurea","apiaceae","golden alexanders","golden zizia"
