"aou number","listed common name","current common name","code","listed scientific name","current scientific name"
"639","worm-eating warbler","worm-eating warbler","wewa","helmitheros vermivorus","helmitheros vermivora"
"642","golden-winged warbler","golden-winged warbler","gwwa","vermivora chrysoptera","vermivora chrysoptera"
"641","blue-winged warbler","blue-winged warbler","bwwa","vermivora pinus","vermivora pinus"
"641.2","brewster's warbler","brewster's warbler","brwa","vermivora pinusxchrysoptera hybrid (brewster)","vermivora pinusxchrysoptera hybrid (brewster)"
"641.3","lawrence's warbler","lawrence's warbler","lawa","helmithrophila lawrencei","vermivora pinusxchrysoptera hybrid (lawrence)"
"647","tennessee warbler","tennessee warbler","tewa","vermivora peregrina","vermivora peregrina"
"640","bachman's warbler","bachman's warbler","bawa","vermivora bachmani","vermivora bachmanii"
"646","orange-crowned warbler","orange-crowned warbler","ocwa","vermivora celata","vermivora celata"
"645","nashville warbler","nashville warbler","nawa","vermivora rubricapilla","vermivora ruficapilla"
"644","virginia's warbler","virginia's warbler","viwa","vermivora virginiae","vermivora virginiae"
"647.1","colima warbler","colima warbler","colw","vermivora crissalis","vermivora crissalis"
"643","lucy's warbler","lucy's warbler","luwa","vermivora luciae","vermivora luciae"
"&nbsp;","cincinnati warbler","cincinnati warbler","cinw","&nbsp;","&nbsp;"
"648","parula warbler","northern parula","nopa","compsothlypsis americana","parula americana"
"649","olive-backed warbler","tropical parula","trpa","compsothlypsis pitiayumi","parula pitiayumi"
"649","socorro warbler","tropical parula","trpa","compsothlypsis graysoni","parula pitiayumi"
"651","olive warbler","olive warbler","olwa","peucedramus olivaceus","peucedramus taeniatus"
"652","yellow warbler","yellow warbler","ywar","dendroica aestiva","dendroica petechia"
"&nbsp;","mangrove warbler/cuban golden    warbler","mangrove warbler","manw","&nbsp;","&nbsp;"
"657","magnolia warbler","magnolia warbler","mawa","dendroica magnolia","dendroica magnolia"
"650","cape may warbler","cape may warbler","cmwa","dendroica tigrina","dendroica tigrina"
"654","black-throated blue warbler","black-throated blue warbler","btbw","dendroica caerulescens","dendroica caerulescens"
"655","myrtle warbler","myrtle warbler","mywa","dendroica cornonata","dendroica coronata"
"656","audubon's warbler","audubon's warbler","auwa","dendroica auduboni","dendroica coronata"
"665","black-throated gray warbler","black-throated gray warbler","btyw","dendroica nigrescens","dendroica nigrescens"
"668","townsend's warbler","townsend's warbler","towa","dendroica towsendi","dendroica townsendi"
"667","black-throated green warbler","black-throated green warbler","btnw","dendrocia virens","dendroica virens"
"666","golden-cheeked warbler","golden-cheeked warbler","gcwa","dendroica chrysoparia","dendroica chrysoparia"
"669","hermit warbler","hermit warbler","hewa","dendroica occidentalis","dendroica occidentalis"
"658","cerulean warbler","cerulean warbler","cerw","dendroica caerulea","dendroica cerulea"
"662","blackburnian warbler","blackburnian warbler","blbw","dendroica fusca","dendroica fusca"
"663","yellow-throated warbler","yellow-throated warbler","ytwa","dendroica dominica","dendroica dominica"
"664","grace's warbler","grace's warbler","grwa","dendroica graciae","dendroica graciae"
"659","chestnut-sided warbler","chestnut-sided warbler","cswa","dendroica pensylvanica","dendroica pensylvanica"
"660","bay-breasted warbler","bay-breasted warbler","bbwa","dendroica castanea","dendroica castanea"
"661","blackpoll warbler","blackpoll warbler","blpw","dendroica striata","dendroica striata"
"671","pine warbler","pine warbler","piwa","dendroica vigorsi","dendroica pinus"
"670","kirtland's warbler","kirtland's warbler","kiwa","dendroica kirtlandi","dendroica kirtlandii"
"673","prairie warbler","prairie warbler","praw","dendroica dicolor","dendroica discolor"
"672","palm warbler","western palm warbler","wpwa","dendroica palmarum","dendroica palmarum"
"663.4","sutton's warbler","sutton's warbler","suwa","dendroica potomac","dendroica potomac"
"n/a","brasher's warbler","brasher's warbler","braw","basileuterus brasheri","basileuterus brasheri"
"674","ovenbird","ovenbird","oven","seiurus aurocapillus","seiurus aurocapilla"
"675","northern waterthrush","northern waterthrush","nowa","seiurus noveboracensis","seiurus noveboracensis"
"676","louisiana waterthrush","louisiana waterthrush","lowa","seiurus motacilla","seiurus motacilla"
"677","kentucky warbler","kentucky warbler","kewa","oporonis formosus","oporornis formosus"
"678","conneticut warbler","conneticut warbler","conw","geothlypis agilis","oporornis agilis"
"679","mourning warbler","mourning warbler","mowa","oporonis philadelphia","oporornis philadelphia"
"680","macgillivray's warbler","macgillivray's warbler","mgwa","oporonis tolmiei","oporonis tolmiei"
"681","yellowthroat","common yellowthroat","coye","geothylpis trichas","geothlypis trichas"
"682","belding's yellowthroat","belding's yellowthroat","beye","geothylpis beldingi","geothlypis beldingi"
"682.1","ground chat/ rio grande    yellowthroat","gray-crowned yellowthroat","gcye","chamaethylpis poliocephala","geothlypis poliocephala"
"683","yellow-breasted chat","yellow-breasted chat","ybch","icteria virens","icteria virens"
"688.1","fan-tailed warbler","fan-tailed warbler","ftwa","euthlypis lachrymosa","euthlypis lachrymosa"
"690","red-faced warbler","red-faced warbler","rfwa","cardellina rubifrons","cardellina rubrifrons"
"684","hooded warbler","hooded warbler","howa","wilsonia citrina","wilsonia citrina"
"685","wilson's warbler","wilson's warbler","wiwa","wilsonia pusilla","wilsonia pusilla"
"686","canada warbler","canada warbler","cawa","wilsonia canadensis","wilsonia canadensis"
"687","american redstart","american redstart","amre","setophaga ruticilla","setophaga ruticilla"
"688","painted redstart","painted redstart","pare","setophaga picta","myioborus pictus"
"688.2","house sparrow","house sparrow","hosp","passer domesticus","passer domesticus"
"688.3","european tree sparrow","eurasian tree sparrow","etsp","passer montanus","passer montanus"
"494","bobolink","bobolink","bobo","doichonyx oryzivorous","dolichonyx oryzivorus"
"501","eastern meadowlark","eastern meadowlark","eame","sturnella magna","sturnella magna"
"501","western meadowlark","western meadowlark","weme","sturnella neglecta","sturnella neglecta"
"505.1","western scarlet-headed oriole","streak-backed oriole","stro","icterus pustulatus","icteris pustulatus"
"916.6","troupial","troupial","trou","icterus icterus","icterus icterus"
"497","yellow-headed blackbird","yellow-headed blackbird","yhbl","xanthocephalus xanthocephalus","xanthocephalus xanthocephalus"
"498","redwinged blackbird","red-winged blackbird","rwbl","agelaius phoeniceus","agelaius phoeniceus"
"500","tricolored blackbird","tricolored blackbird","trbl","agelaius tricolor","agelaius tricolor"
"500.1","tawny-shouldered blackbird","tawny-shouldered blackbird","tsbl","agelaius humeralis","agelaius humeralis"
"506","orchard oriole","orchard oriole","oror","icterus spurius","icterus spurius"
"503","black-headed oriole","audubon's oriole","auor","icterus melanocephalus","icteris graduacauda"
"503.2","spotted-breasted oriole","spot-breasted oriole","spoo","icteris pectoralis","icteris pectoralis"
"505","hooded oriole","hooded oriole","hoor","icterus cucullatus","icterus cucullatus"
"503.1","lichtenstein's oriole","altamira oriole","alor","andriopsar gularis","icteris gularis"
"504","scott's oriole","scott's oriole","scor","icterus parisorum","icteris parisorum"
"507","baltimore oriole","baltimore oriole","baor","icterus galbula","icteris galbula"
"508","bullock's oriole","bullock's oriole","buor","icterus bullocki","icteris bullockii"
"509","rusty blackbird","rusty blackbird","rubl","euphagus carolinus","euphagus carolinus"
"510","brewer's blackbird","brewer's blackbird","brbl","euphagus cyanocephalus","euphagus cyanocephalus"
"513","boat-tailed grackle","boat-tailed grackle","btgr","megaquiscalus major","quiscalus mexicanus"
"511","common grackle","common grackle","cogr","quiscalus quiscula","quiscalus quiscula"
"608","scarlet tanager","scarlet tanager","scta","piranga erythromelas","piranga olivacea"
"609","hepatic tanager","hepatic tanager","heta","piranga hepatica","piranga flava"
"610","summer tanager","summer tanager","suta","piranga rubra rubra","piranga rubra"
"593","cardinal","northern cardinal","noca","cardinalis cardinalis","cardinalis cardinalis"
"594","arizona pyrrhuloxia","pyrrhuloxia","pyrr","pyrrhuloxia sinuata","cardinalis sinuatus"
"595","rose-breasted grosbeak","rose-breasted grosbeak","rbgr","zamelodia ludoviciana","pheucticus ludovicianus"
"596","black-headed grosbeak","black-headed grosbeak","bhgr","zamelodia melanocephala","pheucticus melanocephalus"
"597","blue grosbeak","blue grosbeak","blgr","guiraca caerulea","guiraca caerulea"
"598","indigo bunting","indigo bunting","inbu","passerina cyanea","passerina cyanea"
"599","lazuli bunting","lazuli bunting","lazb","passerina amoena","passerina amoena"
"600","varied bunting","varied bunting","vabu","passerina versicolor","passerina versicolor"
"601","painted bunting","painted bunting","pabu","passerina ciris","passerina ciris"
"603","black-faced grassquit","black-faced grassquit","bfgr","tiaris bicolor","tiaris bicolor"
"603.1","melodius grassquit","cuban grassquit","cugr","tiaris canora","tiaris canora"
"604","dickcissel","dickcissel","dick","spiza americana","spiza americana"
"495","brown-headed cowbird","brown-headed cowbird","bhco","molothrus ater","molothrus ater"
"496","red-eyed cowbird","bronzed cowbird","broc","tangauius aeneus","molothrus aeneus"
"496.1","shiny cowbird","shiny cowbird","shco","molothrus bonariensis","molothrus bonariensis"
"607","western tanager","western tanager","weta","piranga ludoviciana","piranga ludoviciana"
"514.1","brambling","brambling","bram","fringilla montifrigilla","fringilla montifringilla"
"514.2","hawfinch","hawfinch","hawf","coccothraustes japonicus","coccothraustes coccothraustes"
"514","evening grosbeak","evening grosbeak","evgr","hesperiphona vespertina","coccothraustes vespertinus"
"516","bullfinch","eurasian bullfinch","eubu","pyrrhula cassni","pyrrhula pyrrhula"
"517","purple finch","purple finch","pufi","carpodacus purpureus","carpodacus purpureus"
"518","cassin's finch","cassin's finch","cafi","carpodacus cassni","carpodacus cassinii"
"519","house finch","house finch","hofi","carpodacus mexicanus","carpodacus mexicanus"
"519","guadalupe house finch","house finch","hofi","carpodacus amplus","carpodacus mexicanus"
"519","mcgregor's house finch","house finch","hofi","carpodacus mcgregori","carpodacus mexicanus"
"602","white-collared seedeater","white-collared seedeater","wcse","sporophila morelleti","sporophila torqueola"
"515","pine grosbeak","pine grosbeak","pigr","pincola enucleator","pinicola enucleator"
"524","gray-crowned rosy finch","gray-crowned rosy finch","gcrf","luecosticte tephrocotis","leucosticte tephrocotis"
"525","black rosy finch","black rosy finch","blrf","leucosticte atrata","leucosticte atrata"
"526","brown-capped rosy finch","brown-capped rosy finch","bcrf","leucosticte australis","leucosticte australis"
"526.1","european goldfinch","european goldfinch","eugo","cardelis carduelis","carduelis carduelis"
"527","hoary redpoll","hoary redpoll","hore","acanthis hornemanni","carduelis hornemanni"
"528","common redpoll","common redpoll","core","acanthis linaria","carduelis flammea"
"n/a","gray linnet","eurasian linnet","euli","acanthis cannabina","carduelis cannabina"
"533","pine siskin","pine siskin","pisi","spinus pinus","carduelis pinus"
"529","american goldfinch","american goldfinch","amgo","astragalinus tristis","carduelis tristis"
"530","lesser goldfinch","lesser goldfinch","lego","astragalinus psaltria","carduelis psaltria"
"531","lawrence's goldfinch","lawrence's goldfinch","lago","astragalinus lawrencei","carduelis lawrencei"
"521","red crossbill","red crossbill","recr","loxia curvirostra","loxia curvirostra"
"522","white-winged crossbill","white-winged crossbill","wwcr","loxia leucoptera","loxia leucoptera"
"586","olive sparrow","olive sparrow","olsp","arremonops rufivirgatus","arremonops rufivirgatus"
"590","green-tailed towhee","green-tailed towhee","gtto","oreospiza chlorura","pipilo chlorurus"
"587","rufus-sided towhee","eastern towhee","eato","pipilo erythrophthalmus","pipilo erythrophthalmus"
"587","arctic towhee","eastern towhee","eato","piplo maculatus","pipilo erythrophthalmus"
"591.1","anthony's towhee","california towhee","calt","piplo crissalis","piplo crissalis"
"591","brown towhee","canyon towhee","cant","piplo fuscas","pipilo fuscus"
"592","albert's towhee","albert's towhee","abto","piplo alberti","piplo alberti"
"605","lark bunting","lark bunting","larb","calamospiza melanocorys","calamospiza melanocorys"
"541","ipswich sparrow","ipswich sparrow","ipsp","passerculus princeps","passerculus princeps"
"542","savannah sparrow","savannah sparrow","savs","passerculus sandwichensis","passerculus sandwichensis"
"546","grasshopper sparrow","grasshopper sparrow","grsp","ammodramus savannarum","ammodramus savannarum"
"545","baird's sparrow","baird's sparrow","bais","ammodramus bairdi","ammodramus bairdii"
"548","leconte's sparrow","le conte's sparrow","lcsp","passerherbulus lecontei","ammodramus leconteii"
"547","henslow's sparrow","henslow's sparrow","hesp","passerherbulus henslowi","ammodramus henslowii"
"549","sharp-tailed sparrow","saltmarsh                 sharp-tailed sparrow","ssts","passerherbulus caudacutus","ammodramus caudacutus"
"550","seaside sparrow","seaside sparrow","sesp","passerherbulus maritimus","ammodramus maritimus"
"551","dusky seaside sparrow","dusky seaside sparrow","duss","passerherbulus nigrescens","ammodramus maritimus"
"574.1","cape sable sparrow","cape sable sparrow","sssp","ammospiza mirabilis","ammodramus maritimus"
"540","vesper sparrow","vesper sparrow","vesp","pooecetes gramineus","pooecetes gramineus"
"552","lark sparrow","lark sparrow","lasp","chondestes grammacus","chondestes grammacus"
"579","rufous-winged sparrow","rufous-winged sparrow","rwsp","aimophila caralis","aimophila caralis"
"580","rufous-crowned sparrow","rufous-crowned sparrow","rcsp","aimophila ruficeps","aimophila ruficeps"
"575","pine-woods sparrow","bachman's sparrow","bacs","peucaea aestivalis","aimophila aestivalis"
"576","botteri's sparrow","botteri's sparrow","bosp","peucaea botteri","aimophila botterii"
"578","cassin's sparrow","cassin's sparrow","casp","peucaea cassini","aimophila cassinii"
"573","black-throated sparrow","black-throated sparrow","btsp","amphispiza bilineata","amphispiza bilineata"
"574","sage sparrow","sage sparrow","sags","amphispiza nevadensis","amphispiza belli"
"567","white-winged junco","dark-eyed junco","deju","junco aikeni","junco hyemalis"
"567","slate-colored junco","dark-eyed junco","deju","junco hyemalis","junco hyemalis"
"567","pink-sided junco","dark-eyed junco","deju","junco annectens","junco hyemalis"
"567","townsend's junco","dark-eyed junco","deju","junco townsendi","junco hyemalis"
"570","guadalupe junco","yellow-eyed junco","yeju","junco insularis","junco phaeonotus"
"567","gray-headed junco","dark-eyed junco","deju","junco caniceps","junco hyemalis"
"570","red-backed junco","yellow-eyed junco","yeju","junco phaeonotus","junco phaeonotus"
"570","arizona junco","yellow-eyed junco","yeju","junco phaeonotus","junco phaeonotus"
"570","baird's junco","yellow-eyed junco","yeju","junco bairdi","junco phaeonotus"
"559","tree sparrow","american tree sparrow","atsp","spizella monticola","spizella arborea"
"560","chipping sparrow","chipping sparrow","chsp","spizella passerina","spizella passerina"
"561","clay-colored sparrow","clay-colored sparrow","ccsp","spizella pallida","spizella pallida"
"562","brewer's sparrow","brewer's sparrow","brsp","spizella breweri","spizella breweri"
"563","field sparrow","field sparrow","fisp","spizella pusilla","spizella pusilla"
"564","worthen's sparrow","worthen's sparrow","wosp","spizella wortheni","spizella wortheni"
"565","black-chinned sparrow","black-chinned sparrow","bcsp","spizella atrogularis","spizella atrogularis"
"553","harris sparrow","harris's sparrow","hasp","zonotrichia querula","zonotrichia querula"
"554","white-crowned sparrow","white-crowned sparrow","wcsp","zonotrichia leucophrys","zonotrichia leucophrys"
"557","golden-crowned sparrow","golden-crowned sparrow","gcsp","zonotrichia coronata","zonotrichia atricapilla"
"558","white-throated sparrow","white-throated sparrow","wtsp","zonotrichia albicollis","zonotrichia albicollis"
"585","fox sparrow","fox sparrow","fosp","passerell iliaca","passerella iliaca"
"583","lincoln's sparrow","lincoln's sparrow","lisp","melospiza lincolni","melospiza lincolnii"
"584","swamp sparrow","swamp sparrow","swsp","melospiza georgiana","melospiza georgiana"
"581","song sparrow","song sparrow","sosp","melospiza melodia","melospiza melodia"
"539","mccowan's longspur","mccown's longspur","mclo","rhynchophains mccowni","calcarius mccownii"
"536","lapland longspur","lapland longspur","lalo","calcarius lapponicus","calcarius lapponicus"
"537","smith's longspur","smith's longspur","smlo","calcarius pictus","calcarius pictus"
"538","chestnut-collared longspur","chestnut-collared longspur","cclo","calcarius ornatus","calcarius ornatus"
"534","snow bunting","snow bunting","snbu","plectrophenax nivalis","plectrophenax nivalis"
"535","mckay's bunting","mckay's bunting","mkbu","plectrophenax hyperbornes","plectrophenax hyperboreus"
"535.1","rustic bunting","rustic bunting","rubu","emberiza rustica","emberiza rustica"
