"university name","country","state / province"
"claflin university","united states","sc"
"coker college","united states","sc"
"college of charleston","united states","sc"
"erskine college","united states","sc"
"lander university","united states","sc"
"limestone college","united states","sc"
"orangeburg-calhoun technical college","united states","sc"
"the citadel the military college of south carolina","united states","sc"
"university of south carolina at columbia","united states","sc"
"voorhees college","united states","sc"
"winthrop university","united states","sc"
"black hills state university","united states","sd"
"dakota state university","united states","sd"
"dakota wesleyan university","united states","sd"
"the university of south dakota","united states","sd"
"belmont university","united states","tn"
"bryan college","united states","tn"
"carson-newman college","united states","tn"
"chattanooga state tech community college","united states","tn"
"dyersburg state community college","united states","tn"
"fisk university","united states","tn"
"king college","united states","tn"
"lincoln memorial university","united states","tn"
"lipscomb university","united states","tn"
"middle tennessee state university","united states","tn"
"southern adventist university","united states","tn"
"union university","united states","tn"
"virginia college school of business and health","united states","tn"
"abilene christian university","united states","tx"
"central texas college","united states","tx"
"houston baptist university","united states","tx"
"howard payne university","united states","tx"
"lon morris college","united states","tx"
"lone star college - kingwood","united states","tx"
"lubbock christian university","united states","tx"
"north lake college","united states","tx"
"northeast texas community college","united states","tx"
"our lady of the lake university","united states","tx"
"prairie view a and m university","united states","tx"
"rice university","united states","tx"
"san antonio college","united states","tx"
"south texas college","united states","tx"
"southwestern adventist university","united states","tx"
"st. mary's university","united states","tx"
"texas a and m international university","united states","tx"
"texas a and m university","united states","tx"
"texas college","united states","tx"
"texas state university-san marcos","united states","tx"
"texas woman's university","united states","tx"
"the university of texas at dallas","united states","tx"
"university of houston","united states","tx"
"university of north texas","united states","tx"
"university of north texas at dallas","united states","tx"
"university of texas at austin","united states","tx"
"university of texas at tyler","united states","tx"
"wayland baptist university","united states","tx"
"west texas a and m university","united states","tx"
"university of utah","united states","ut"
"utah valley university","united states","ut"
"weber state university","united states","ut"
"blue ridge community college - va","united states","va"
"bridgewater college","united states","va"
"christopher newport university","united states","va"
"ferrum college","united states","va"
"hampton university","united states","va"
"james madison university","united states","va"
"marymount university","united states","va"
"mountain empire community college","united states","va"
"norfolk state university","united states","va"
"regent university","united states","va"
"saint paul's college","united states","va"
"shenandoah university","united states","va"
"thomas nelson community college","united states","va"
"university of virginia","united states","va"
"virginia highlands community college","united states","va"
"virginia state university","united states","va"
"city university of seattle","united states","wa"
"heritage university","united states","wa"
"seattle university","united states","wa"
"washington state university","united states","wa"
"alverno college","united states","wi"
"cardinal stritch university","united states","wi"
"carthage college","united states","wi"
"marian university","united states","wi"
"ripon college","united states","wi"
"st. norbert college","united states","wi"
"university of wisconsin-eau claire","united states","wi"
"university of wisconsin-green bay","united states","wi"
"university of wisconsin-madison","united states","wi"
"university of wisconsin-oshkosh","united states","wi"
"viterbo university","united states","wi"
"alderson-broaddus college","united states","wv"
"concord university","united states","wv"
"davis and elkins college","united states","wv"
"fairmont state university","united states","wv"
"glenville state college","united states","wv"
"mountain state university","united states","wv"
"university of charleston","united states","wv"
"west virginia wesleyan college","united states","wv"
"wheeling jesuit university","united states","wv"
"northwest college - powell","united states","wy"
"college of foreign economics relations","vietnam","NULL"
"academy of finance","vietnam","NULL"
"banking academy","vietnam","NULL"
"diplomatic academy of vietnam","vietnam","NULL"
"foreign trade university hanoi campus","vietnam","NULL"
"foreign trade university hcmc campus","vietnam","NULL"
"fpt university","vietnam","NULL"
"ha noi open university","vietnam","NULL"
"ha noi university of agriculture","vietnam","NULL"
"hanoi university","vietnam","NULL"
"ho chi minh city university of technology - national university hcmc","vietnam","NULL"
"hoa sen university","vietnam","NULL"
"international university - national university ho chi minh city","vietnam","NULL"
"phuong dong university","vietnam","NULL"
"rmit international university vietnam hanoi campus","vietnam","NULL"
"rmit international university vietnam hcmc campus","vietnam","NULL"
"thang long university","vietnam","NULL"
"university of economics and finance","vietnam","NULL"
"university of economics and law","vietnam","NULL"
"university of economics ho chi minh city","vietnam","NULL"
"university of industry","vietnam","NULL"
"university of social sciences and humanities - national university hanoi","vietnam","NULL"
"economics university - vietnam national university hanoi campus","vietnam","NULL"
"national economics university","vietnam","NULL"
"bindura university of science education","zimbabwe","NULL"
"solusi university","zimbabwe","NULL"
"africa university","zimbabwe","NULL"
"catholic university in zimbabwe","zimbabwe","NULL"
"chinhoyi university of technology","zimbabwe","NULL"
"harare institute of technology","zimbabwe","NULL"
"midlands state university","zimbabwe","NULL"
"national university of science and technology","zimbabwe","NULL"
"university of zimbabwe","zimbabwe","NULL"
"women's university in africa","zimbabwe","NULL"
