"abeliophyllum                         distichum","schneeforsythie                         wei&szlig;e forsythie","oleaceae"
"dracaena                         australis","&nbsp;","dracaenaceae                         liliaceae s.l."
"dracophilus                         proximus","&nbsp;","aizoaceae"
"dracophyllum                         secundum","&nbsp;","epacridaceae"
"dracunculus muscivorus                         = helicodiceros muscivorus","&nbsp;","&nbsp;"
"dracunculus                         vulgaris","schlangenwurz                         drachenwurz","araceae"
"drimys                         lanceolata","tasmanischer                         pfeffer","winteraceae"
"drimys                         winteri","winterrinde","winteraceae"
"drosera                         adelae","&nbsp;","droseraceae"
"drosera                         aliciae","&nbsp;","droseraceae"
"drosera                         binata (= drosera dichotoma)","gegabelter                         sonnentau","droseraceae"
"drosera                         capensis","kap-sonnentau","droseraceae"
"drosera                         ericksonae","&nbsp;","droseraceae"
"drosera                         filiformis","&nbsp;","droseraceae"
"drosera                         pulchella","&nbsp;","droseraceae"
"drosera                         pygmaea","&nbsp;","droseraceae"
"drosera                         regia","k&ouml;nigs-sonnentau","droseraceae"
"drosera                         rotundifolia","rundbl&auml;ttriger                         sonnentau","droseraceae"
"drosera                         scorpioides","skorpions-sonnentau","droseraceae"
"drosera                         spathulata","&nbsp;","droseraceae"
"drosophyllum lusitanicum","taublatt","droseraceae"
"dryas                         drummondii","&nbsp;","rosaceae"
"dryas                         octopetala","wei&szlig;e                         silberwurz","rosaceae"
"dryopteris                         dilatata","breitbl�ttriger                         dornfarn","dryopteridaceae"
"dryopteris                         filix-mas","m�nnlicher                         wurmfarn","dryopteridaceae"
"duchesnea                         indica","indische schein-erdbeere","rosaceae"
"dudleya                         brittonii","&nbsp;","crassulaceae"
"dyckia                         distachya","&nbsp;","bromeliaceae"
