"date","preferred_species_name","common name","wra score","wra designation"
"10/7/2002","barringtonia asiatica","sea putat","-8","l"
"10/7/2002","acalypha wilkesiana","beefsteak plant","-2","l"
"10/7/2002","ardisia elliptica","shoebutton ardisia","11","h (hawai'i)"
"10/7/2002","leptospermum scoparium","broom teatree","3","h (hpwra)"
"10/7/2002","bischofia javanica","bishopwood","7","h (hpwra)"
"10/7/2002","merremia tuberosa","wood rose","12","h (hpwra)"
"10/7/2002","melia azedarach","chinaberry tree","14","h (hpwra)"
"10/7/2002","magnolia grandiflora","southern magnolia","0","l"
"10/7/2002","ligustrum sinense","chinese privet","11","h (hpwra)"
"10/7/2002","antigonon leptopus","mexican creeper","19","h (hpwra)"
"10/7/2002","ligustrum japonicum","japanese privet","6","evaluate"
"10/7/2002","montanoa hibiscifolia","treedaisy","13","h (hpwra)"
"10/7/2002","lagerstroemia speciosa","queen's crape myrtle","-4","l"
"10/7/2002","lagenaria siceraria","bottle gourd","0","l"
"10/7/2002","justicia brandegeeana","shrimp plant","-1","l"
"10/7/2002","juniperus chinensis","chinese juniper","-3","l"
"10/7/2002","anacardium occidentale","cashew tree","0","l"
"10/7/2002","annona cherimola","cherimoya","-4","l"
"10/7/2002","ligustrum lucidum","glossy privet","6","evaluate"
