"&nbsp;","&nbsp;","&nbsp;","&nbsp;","paula"
"paolo","m","-","italienisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","paul"
"pascal","m","pasquale pascual","franz.-lat.-hebr&auml;isch","an ostern geborener"
"patricia","w","patrizia","lateinisch","dem r&ouml;mischen adel (patrizier) zugeh&ouml;rig"
"patrick","m","-","irisch-engl.-lat.","dem r&ouml;mischen adel (patrizier) zugeh&ouml;rig"
"paul","m","paulus paolo pablo pawel","griechisch","pauros=klein"
"paula","w","paola pawla pauletta paulette paulina pauline","-","weibliche form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","paul"
"penelope","w","penny","griechisch","pene=gewebe; lepein=aufl&ouml;sen"
"peter","m","petrus pit peer pierre pietro piero pedro","griechisch","der fels"
"petra","w","-","-","weibliche form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","peter"
"philine","w","-","griechisch","philein=lieben"
"philipp","m","philippe phil filippo","griechisch","philos=freund; hippos=pferd"
"philippa","w","philippe philippina philippine","-","weibliche form zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","philipp"
"philomele","w","philomela philomena philomene","griechisch","philos=freund; melos=gesang lied"
"pierre","m","-","franz&ouml;sisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","peter"
"pippin","m","pepino","alhochdeutsch","der pfeifer"
"pius","m","pio","lateinisch","der fromme"
"priska","w","prisca priscilla priszilla","lateinisch","alt ehrw&uuml;rdig"
"quintin","m","quintus quentin quint quintinus","lateinisch","der f&uuml;nfte"
"quirin","m","quirinus","lateinisch","mann aus quirinium"
"rabea","w","rabia","hebr&auml;isch","m&auml;dchen"
"rachel","w","rahel recha rachele rachil","hebr&auml;isch","mutterschaft"
"radomil","m","-","slawisch","rad=froh; mily=lieb"
"radomila","w","radmila radmilla","-","weibliche form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","radomil"
"raimund","m","reimund raimondo raymond","althochdeutsch","ragin=rat; munt=schutz"
"rainer","m","reiner","althochdeutsch","ragin=rat; hari=heer"
"ralph","m","ralf raoul","englisch","kurzform f&uuml;r"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","rudolf"
"raphael","m","rafael raffael raffaello","hebr&auml;isch","es heilt gott"
"raphaela","w","raffaela raphaele","-","weibliche form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","raphael"
"rebekka","w","rebecca becky","hebr&auml;isch","ribqa=wohlgen&auml;hrt oder die schmeichlerin (?)"
"regina","w","regine gina ina ine","lateinisch","die k&ouml;nigin"
"reinhard","m","-","althochdeutsch","ragin=rat; harti=hart stark"
"reinhold","m","rainald reinold reynold ronald","althochdeutsch","ragin=g&ouml;ttlicher rat; waltan=walten  herrschen"
"renata","w","renate","lateinisch","die wiedergeborene"
"ren&eacute;","m","-","franz&ouml;sisch-lat.","der wiedergeborene"
"richard","m","ricardo rico","althochdeutsch","rihi=reich m&auml;chtig; harti=stark"
"robert","m","ruppert ruprecht robin roberto","germanisch","hroth=ruhm; beraht=gl&auml;nzend"
"roberta","w","roberte robertina robina robine","-","weibliche form zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","robert"
"roger","m","-","-","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","r&uuml;diger"
"roland","m","orlando","germanisch","hroth=ruhm; nantha=k&uuml;hn"
"rolf","m","rolph","-","kurzform zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","rudolf"
"roman","m","romano romeo romek","lateinisch","der r&ouml;mer"
"romana","w","-","-","weibliche form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","roman"
"rosa","w","rose rosalie rosella rosellina rosita","lateinisch","die rose"
"rosina","w","rosine","lateinisch","rosig"
"roswitha","w","roswita rosa","althochdeutsch","hruod=ruhm; swinths= stark"
"roxana","w","roxane roxanne rosanna","persisch","die gl&auml;nzende"
"ruben","m","-","hebr&auml;isch","sehet ein sohn"
"rudi","m","-","-","kurzform zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","rudolf"
"r&uuml;diger","m","roger ruggero","germanisch","hruod=ruhm; ger=speer"
"rudolf","m","rudolph rudi rolf rolph ralf ralph raoul rodolfo rudolfo","germanisch","hruod=ruhm; wolf=wolf"
"ruth","w","rut","hebr&auml;isch","freundschaft"
"sabine","w","sabina bina bine","lateinisch","aus dem stamm der sabiner"
"sabrina","w","-","angloamerikanisch","nach der nymphe des englischen severnflusses"
"saladin","m","salentin saladino","arabisch","glaubensheil"
"salim","m","-","-","kurzform zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","salomo"
"salome","w","salom&eacute; suleima","hebr&auml;isch","die friedliche"
"salomo","m","salomon solomon salomone selim suleiman","hebr&auml;isch","friedensf&uuml;rst"
"salvator","m","salvatore salvador","lateinisch","retter erl&ouml;ser"
"salvina","w","salwa","lateinisch","salvus=gesund"
"sam","m","-","englisch","kurzform zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","samuel"
"samantha","w","-","hebr&auml;isch-amerikan.","die h&ouml;rende gehorsame"
"samira","w","-","arabisch","die unterhalterin"
"samuel","m","sam sammy samy","hebr&auml;isch","von gott erh&ouml;rt"
"sandra","w","sandrina sandrine sandria","italienisch","kurzform f&uuml;r alessandra ("
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","alexandra"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;",")"
"sandro","m","-","italienisch","koseform zu alessandro ("
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","alexander"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;",")"
"saphira","w","-","hebr&auml;isch-griech.","die sch&ouml;ne"
"sara","w","sarah zarah zara sally","hebr&auml;isch","f&uuml;rstin"
"sascha","m","-","russisch","kurz- und koseform f&uuml;r aleksandr ("
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","alexander"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;",")"
"sascha","w","-","russisch","kurz- und koseform f&uuml;r aleksandra ("
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","alexandra"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;",")"
"scarlet","w","scarlett","engl.-amerikan.","scarlet=scharlachrot"
"scipio","m","scipione","lateinisch","stab"
"sebastian","m","bastian sebastiano sobek","griechisch","verehrungsw&uuml;rdig"
"semjon","m","-","russisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","simon"
"seraphin","w","serafin seraphina seraphine serafina serfine","hebr&auml;isch","&quot;seraph&quot; = &quot;brennend&quot;"
"sergej","m","sergius sergio","lat.-russisch","aus dem geschlecht der sergier"
"severin","m","s&ouml;ren severus severinus","lateinisch","der strenge"
"shantala","w","-","-","aus dem indischen erfundener name (gerichtlich zugelassen)"
"shirley","w","-","engl.-amerikan.","nach einem ortsnamen"
"sibylle","w","sibylla sibilla sibille","griechisch","ratschlu&szlig; des zeus"
"siegfried","m","siggi","althochdeutsch","sigu=sieg; fridu=friede"
"siegmund","m","sigismund sigmund","althochdeutsch","sigu=sieg; munt=schutz"
"silke","w","silka sylke","niederdeutsch","kurz- und koseform zu c&auml;cilia und"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","gisela"
"silvana","w","-","lateinisch","silva=wald"
"silvester","m","fester","lateinisch","silva=wald"
"silvia","w","silvetta silvette silvina","lateinisch","silva=wald"
"silvius","m","silvio","lateinisch","silva=wald"
"simon","m","simeon semjon","hebr&auml;isch","erh&ouml;rung"
"simone","w","simona simonetta simonette","-","weibliche form zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","simon"
"sixtus","m","sixt sisto","lateinisch-griechisch","xystos=glatt"
"sonja","w","sonia","russisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","sophie"
"sophie","w","sophia sonja sofie sofia","griechisch","weisheit"
"stanislaus","m","stanek","slawisch","stan=lager; slawa=ber&uuml;hmt"
"stephan","m","stefan steffen stephen steven steve &eacute;tienne esteban        estevan","griechisch","stephanos=kranz krone"
"stephanie","w","stefanie stephania stefania stefana steffi &eacute;tienette","-","weibliche form zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","stephan"
"susanne","w","susanna suse susi sanne susen","hebr&auml;isch","lilie"
"sven","m","swen","schwedisch","j&uuml;ngling junger krieger"
"tamara","w","tamar","hebr&auml;isch","tamar=dattelpalme"
"tanja","w","tania tanjura","-","kurzform von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","tatjana"
"tarek","m","tarik","arabisch","? ? ?"
"tassilo","m","thassilo tasso","althochdeutsch","? ? ?"
"tatjana","w","tatiana tanja tania tanjura","althochdeutsch","? ? ?"
"thadd&auml;us","m","-","aram&auml;isch","tadda=beherzt"
"theodor","m","theo teodor fjodor fedor","griechisch","geschenk gottes"
"theodora","w","thea dora fjodora fedora","-","weibliche form zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","theodor"
"therese","w","theresa theres terese thea thery theresia theresina","griechisch","von der insel thera stammend"
"thomas","m","tomas tommy tom tomaso","hebr&auml;isch","thoma=zwilling"
"thorsten","m","torsten","skandinavisch","thor=gott donar; sten=stein"
"tiberius","m","tiberio tibor","lateinisch","vom flu&szlig;gott tiberis gesch&uuml;tzt"
"timon","m","-","griechisch","time=ehre"
"timotheus","m","timoteo timofej","griechisch","timan=ehren f&uuml;rchten; theos=gott"
"titus","m","tito","lateinisch","titus=wildtaube"
"tizian","m","tiziano","italienisch","weiterbildung zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","titus"
"tiziana","w","-","italienisch","weibliche weiterbildung zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","titus"
"tobias","m","tobi tobia","hebr&auml;isch","gott ist gut"
"tosca","w","toska","italienisch","toskanerin"
"tycho","m","tychon","griechisch","schicksal gl&uuml;ck"
"tyra","w","-","schwedisch","? ? ?"
"udo","m","uto utto","niederdeutsch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","otto"
"ugolino","m","ugo","italienisch","? ? ?"
"uland","m","uhland","althochdeutsch","uodal=erbgut heimat; land=land"
"ulita","w","ulitta uljana","russisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","julia"
"ulrich","m","uli ulli ulrico","althochdeutsch","uodal=erbgut heimat; rihhi=reich"
"ulrike","w","ulrika ula ulla ulli rike","-","weibliche form zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","ulrich"
"umberto","m","-","italienisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","hubert"
"undine","w","-","lateinisch","nixe"
"urania","w","orania orane","griechisch","uranos=himmel"
"urban","m","urbanus urbano","lateinisch","aus der stadt st&auml;dter"
"urias","m","urija","hebr&auml;isch","mein licht ist jahwe"
"uriel","m","-","hebr&auml;isch","licht gottes"
"ursula","w","ursel ursina ursine","lateinisch","kleiner b&auml;r b&auml;rchen"
"ursus","m","urs ursinus ursio","lateinisch","der b&auml;r"
"uwe","m","uve uwo uvo owe ove","friesisch","? ? ?"
"valentin","m","valentinus valentianus valentius valentino valentiniano","lateinisch","kr&auml;ftig gesund"
"valentina","w","valentine wally","-","weibliche form zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","valentin"
"valeria","w","valerie valeriana valeriane val&eacute;rien valeska walli        wally","-","weibliche form zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","valerius"
"valerius","m","valerio valerian valerianus","lateinisch","stark gesund"
"vanadis","w","-","nordisch","name aus der nordischen mythologie"
"vanessa","w","vanni nessie","englisch","? ? ?"
"vanja","w","vania","slawisch","weibliche form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","iwan"
"varinka","w","warenka","russisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","barbara"
"veit","m","vito guido voit witas","lateinisch","? ? ?"
"venetia","w","venetta veneta vineta","lateinisch","aus venetien stammend"
"vera","w","-","lateinisch","die wahre"
"verena","w","vera","lateinisch","? ? ?"
"verona","w","-","-","nebenform zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","veronika"
"veronika","w","verona verone verena vera v&eacute;ronique","griechisch","pherein=bringen; nike=sieg"
"vico","m","-","-","kurzform zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","ludovico"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","("
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","ludwig"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;",")"
"viktor","m","victor victorian victorianus viktorin viktorin victorinus        vico vittorio","lateinisch","sieger"
"viktoria","w","victoria vittoria victorina victorine viktorin viktorina        viktorine","-","weibliche form zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","viktor"
"vinzenez","m","vincenz vinzent vincentius vincent vincenzo","lateinisch","sieger"
"viola","w","violet violett violetta violette","lateinisch","veilchen"
"vitalis","m","vital vitale","lateinisch","belebend lebenerhaltend"
"volker","m","volkher folker folkher","althochdeutsch","folk=volk; hari=heer"
"volkmar","m","volkmer volmar folkmar","althochdeutsch","folk=volk; mari=ber&uuml;hmt"
"walburga","w","walburg walburge walpurgis waldburg walli wally","althochdeutsch","wal=walstatatt; burg=burg"
"waldemar","m","waldomar wladimir vladimir","althochdeutsch","waltan=walten herrschen; mari=ber&uuml;hmt"
"walter","m","walther wolter walt gautier gualtiero","althochdeutsch","waltan=walten herrschen; heri=heer"
"werner","m","wernher warner garnier guarniero","germanisch","vom germanischen stamm der warnen"
"wibke","w","wigberta wiba wiebke wibeke","alhochdeutsch","wig=kampf; beraht=gl&auml;nzend"
"wiclef","m","wiclif","althochdeutsch","wig=kampf; lef=nachkomme erbe"
"wilfried","m","wilfrid wilfert wilfer","althochdeutsch","willo=wille; fridu=friede"
"wilfrieda","w","wilfiede","-","weibliche form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","wilfried"
"wilhelm","m","willi willy wim helmi helmo william vilmos","althochdeutsch","willo=wille; helm=helm schutz"
"wilhelma","w","helma helmi hemma hilma wilma wilhelmine","-","weilbliche form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","wilhelm"
"william","m","-","englisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","wilhelm"
"winimar","m","winmar winemar weimer","althochdeutsch","wini=freund; mari=ber&uuml;hmt"
"winston","m","-","englisch","? ? ?"
"wladimir","m","vladimir valdimiro","slawisch","wladeti=herrschen; mir=friede"
"wolfgang","m","wolf wulf","althochdeutsch","wolf=wolf; gang=gang"
"wolfram","m","-","althochdeutsch","wolf=wolf; hraban=rabe"
"xaver","m","x","? ? ?","nach dem spanischen schlo&szlig; xavier in navarra"
"&nbsp;","&nbsp;","averius xavier saverio","&nbsp;","&nbsp;"
"xaveria","w","xaverine","-","weibliche form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","xaver"
"xenia","w","-","griechisch","xenios=gastfreundlich"
"xenophon","m","senofonte","griechisch","xenos=gast; phainesthai=scheinen leuchten"
"yannic","m","yannick","bretonisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","jean"
"yehudi","m","jehudi","-","m&auml;nnliche form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","judith"
"yule","m","yul","schottisch","weihnachten"
"yves","m","ivo","franz.-althochdeutsch","eibe eibenholz"
"zacharias","m","sacharja","hebr&auml;isch","es gedenkt jahwe"
"zach&auml;us","m","-","hebr&auml;isch","der gerechte unschuldige"
"zaida","w","-","arabisch","gebieterin"
"zenobia","w","zena","-","weibliche from zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","zenobio"
"zenobio","m","-","ital.-span.-griech.","aus"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","zeus"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","und bios=leben"
"zeus","m","-","griechisch","tag lichter himmel"
