"api","description","category","updated"
"renao","online web design and hosting","internet","2010-12-20"
"resellerclub","domain name reselling and web hosting services","internet","2008-11-16"
"resellers panel","web hosting management service","internet","2010-04-24"
"rimuhosting","virtual hosting services","internet","2009-12-10"
"rimuhosting dns","domain name service","internet","2012-01-05"
"robowhois","whois record lookup service","internet","2011-10-07"
"safe.mn","url shortening service with security features","internet","2010-04-30"
"sauce labs","testing and debugging service","internet","2011-11-08"
"scalr","cloud hosting platform","internet","2010-11-30"
"sedo","domain name marketplace","internet","2011-02-28"
"semantic engines semantic","semantic analysis of documents or web pages","internet","2010-11-09"
"sendtoreader","send web pages to kindle devices","internet","2011-07-07"
"seo engine","seo improvement and implementation service","internet","2012-01-30"
"seo metrics","seo metrics gathering service","internet","2011-12-06"
"server density monitoring api","server hosting and monitoring service","internet","2010-05-06"
"servermojo","web site monitoring service","internet","2010-01-08"
"serviceobjects dots ip address validation","ip address validation service","internet","2011-08-09"
"setlinks","seo link buying service","internet","2011-07-26"
"short and tweet","url shortening service","internet","2010-01-08"
"shortr","url shortening service.","internet","2009-09-15"
"showmyip","ip geolocation service","internet","2010-10-18"
"shr.im","url shortening service","internet","2011-01-04"
"shrten","url shortening service","internet","2009-05-15"
"similar site search","website information service","internet","2010-09-27"
"similar sites","search api for finding similar websites","internet","2011-02-28"
"simpleapi","web site thumbnail image creation","internet","2008-02-14"
"simpletext","online writing sync service","internet","2011-01-27"
"site stats","website traffic tracking service","internet","2011-08-02"
"site24x7","website monitoring","internet","2009-09-09"
"sitekreator","website builder","internet","2011-04-14"
"siteuptime","website monitoring service","internet","2011-02-03"
"skwish url","url shortening service","internet","2009-12-17"
"slicehost slicemanager","web hosting services","internet","2008-05-26"
"smartbear alertsite","web performance monitoring service","internet","2012-01-10"
"smartling","real time web translation service","internet","2011-03-08"
"smestorage multi cloud","cloud storage service","internet","2011-11-02"
"snipr","url shortening service","internet","2010-01-08"
"socialtext","data managment service","internet","2010-10-13"
"softlayer","systems management and monitoring","internet","2007-05-29"
"spamid.net ip locator","ip address geolocation service","internet","2010-04-14"
"spire.io","back-end api provider for application development","internet","2012-01-11"
"spreaker","live internet radio platform","internet","2011-02-15"
"squarespace","website publishing tool","internet","2011-10-07"
"statsmix","track business metrics on dashboards","internet","2010-11-15"
"stdicon","icons for standard site or file types","internet","2009-11-29"
"stella","web site monitoring service","internet","2011-11-08"
"stop forum spam","database of online forum spammers","internet","2010-04-21"
"summarity","web page text summarization tool","internet","2010-11-08"
"surveygizmo","online survey service","internet","2008-11-22"
"symbaloo","personalized internet startpage service","internet","2010-12-07"
"t-ma-tic","semantic meaning and connections service","internet","2010-10-15"
"tangler","discussion forums services","internet","2008-07-07"
"telpages",".tel domain registry service","internet","2012-01-31"
"terremark vcloud express","cloud computing service","internet","2010-05-17"
"the buddy platform","cloud-based hosting solutions for application developers","internet","2011-11-15"
"themeforest","website template service","internet","2009-04-16"
"thinkgrid","cloud services platform","internet","2011-11-11"
"timesurl","url shortening service","internet","2008-08-02"
"tinylink","url shortening service","internet","2007-10-25"
"tr.im","url shortening service","internet","2008-10-31"
"trafic.ro","website analytics service","internet","2010-03-24"
"trigger forge","cross-platform app code generation service","internet","2012-02-01"
"twinfluence","twitter profile analysis service","internet","2009-03-19"
"tynt","internet engagement measurement service","internet","2010-11-29"
"typekit","web usable font library service","internet","2011-08-02"
"ucla.in","url shortening service","internet","2011-01-11"
"uclassify","text classification services","internet","2008-10-05"
"unapi","proposal for web clipboard","internet","2006-03-28"
"unofficial alexa rank and backlink","check the alexa rank of any domain","internet","2010-12-07"
"unshort.me","link unshortening service","internet","2011-08-01"
"upname","domain name search engine","internet","2011-11-08"
"urlace.com","url shortening service","internet","2009-03-14"
"urlal","url shortening service","internet","2010-03-26"
"urlborg","url shortening service","internet","2008-09-03"
"user-agent-string","user agent string analysis service","internet","2009-05-30"
"usergrid","cloud based data platform","internet","2012-01-17"
"vai.la short links","url shortening service","internet","2010-05-05"
"viewdns.info","online source of dns tools","internet","2011-08-22"
"virtuoso sponger proxy","rdf proxy service","internet","2008-08-14"
"visitor.js","website personalization and customization service","internet","2011-10-31"
"voxel","cloud hosting and management service","internet","2011-08-22"
"vps.net","on demand cloud hosting provider","internet","2010-02-24"
"vtriggers","realtime cloud publishing platform","internet","2011-06-07"
"w3c css validator","css markup validation service","internet","2011-02-08"
"w3c xhtml validator","html validation service","internet","2011-02-08"
"w3counter","web site metrics tools","internet","2006-06-01"
"watchmouse","web site monitoring service","internet","2009-09-22"
"watson","semantic web gateway","internet","2010-12-20"
"web africa","isp enhancement service","internet","2011-08-04"
"webfaction","online hosting service","internet","2010-08-24"
"webmetrics","website and web services monitoring","internet","2008-11-22"
"webpeep","show website technologies","internet","2010-11-15"
"webride","attaches discussions to any site","internet","2006-06-06"
"webseoanalytics","seo analytics service","internet","2011-08-15"
"websitepulse","web site and application monitoring service","internet","2007-12-25"
"webthumb","thumbnail image generation service","internet","2006-11-01"
"webtrends","web site analytics service","internet","2009-04-09"
"weebly","web site and blog creation service","internet","2008-05-22"
"who is hosting this","find out who hosts a web site","internet","2008-08-26"
"whoapi","domain lookup and details service","internet","2011-12-13"
"windows azure service management","cloud service operating system","internet","2010-05-13"
"windows live admin center","web site administration services","internet","2007-01-29"
"woopra","live website data analysis service","internet","2010-12-20"
"wordpot","search engine optimization services","internet","2008-10-11"
"wordsfinder keywords extractor","seo term extraction service","internet","2009-03-10"
"wormly","uptime and server monitoring service","internet","2010-03-25"
"wrap.im","anonymous linking library","internet","2010-12-20"
"x.nu","url shortening service","internet","2011-01-04"
"xa.ly","url shortener and monetizing service","internet","2011-02-15"
"xml daily fact","xml daily fact widget","internet","2012-01-10"
"yahoo site explorer","web site analysis service","internet","2007-02-01"
"yahoo yui","web visualization and layout framework","internet","2012-01-05"
"yandex bar","create components for internet browsers","internet","2011-02-28"
"yandex detektor","detect type of users mobile device","internet","2011-02-28"
"yottaa partner","website performance and optimization service","internet","2012-01-25"
"yottaa public","website performance and optimization service","internet","2012-01-25"
"yottaa user","website performance and optimization service","internet","2012-01-25"
"youos","web based operating system","internet","2008-05-14"
"zendesk","help desk service","internet","2009-06-08"
"zerigo managed dns","dns management service","internet","2010-12-16"
"zoomrank","seo rank monitoring service","internet","2010-12-17"
"authentic jobs","job search services for developers and designers","job search","2008-09-03"
"bullhorn staffing","job recruiting info service","job search","2011-06-14"
"careerbuilder","job and recruiting service","job search","2009-08-07"
"careerjet","job search service","job search","2011-08-09"
"catsone","recruiting information service","job search","2009-03-22"
"codemunch","job listing platform","job search","2011-02-03"
"cofundos","service and network for open source collaboration","job search","2008-11-02"
"elance","online job marketplace","job search","2010-10-01"
"eurocv","online curriculum vitae service","job search","2011-08-16"
"freelancer","job search and recruiting service for freelancers","job search","2010-05-28"
"getafreelancer","freelance programmer database","job search","2009-10-06"
"gigwalk","mobile workforce service","job search","2011-10-02"
"hackruiter","job recruiting info service","job search","2011-06-08"
"indeed","job search services","job search","2005-09-04"
"jobcentral jobs","job search services","job search","2008-03-16"
"jobcrank","job search and posting","job search","2008-12-14"
"jobg8","job search marketplace","job search","2011-12-13"
"jobgizmo","job search tools","job search","2011-10-25"
"jobmotel","job feeds service","job search","2009-05-30"
"juju publisher","job search engine","job search","2012-01-11"
"justjobs.ro","romanian job search site","job search","2012-01-11"
"linkup job search engine","job search service","job search","2010-03-05"
"mobileworks","crowd-sourcing employment platform","job search","2011-09-01"
"monster web services toolkit","recruiting and job search tools","job search","2010-02-02"
"odesk","marketplace for freelancers","job search","2009-11-06"
"peerlo jobgenie","job recruiting and referral service","job search","2009-12-25"
"popcv semantic","application processing service","job search","2011-07-28"
"raveal","online job search service","job search","2011-07-12"
"rezscore","resume scoring service","job search","2011-10-25"
"simply hired jobs","job search services","job search","2008-07-24"
"smashfly","job board posting service","job search","2006-01-08"
"uk civil service","uk public sector job service","job search","2009-05-10"
"zijob","french job search service","job search","2010-03-26"
"zipster","australian job search site","job search","2010-11-15"
"zubka","job board and referral service","job search","2008-03-01"
"arcweb","mapping and gis services","mapping","2006-02-09"
"askgeo","time zone reference service","mapping","2011-11-21"
"atlasct geo-services","maps and location-based services","mapping","2011-09-06"
"atlasct location-based services","location-based services","mapping","2011-09-02"
"atlasct mobile maps","maps and gps navigation","mapping","2011-09-08"
"atlasct places & check-in","places and location check-in","mapping","2011-09-02"
"atlasct static map","maps and geo-location content","mapping","2011-09-02"
"atlasct web maps","maps and location-based services","mapping","2011-09-02"
"batchgeo","online mapping service","mapping","2011-11-15"
"bing maps","microsoft online mapping service","mapping","2009-06-09"
"bing maps geocode","geocoding service","mapping","2011-08-09"
"bing maps routes","mapping route creation service","mapping","2011-08-09"
"bing maps search","mapping search service","mapping","2011-08-09"
"bing maps spatial data services","mapping geospatial data service","mapping","2011-08-09"
"bing static maps","bing static map creation service","mapping","2011-08-09"
"breadcrumbs","gps data sharing service","mapping","2010-09-13"
"cartodb","geospatial data and map creation service","mapping","2012-01-17"
"cloudmade","mapping and geospatial web services","mapping","2009-02-16"
"cloudmade geocoding","forward and reverse geocoding service","mapping","2010-11-22"
"cloudmade leaflet","interactive maps service","mapping","2011-07-26"
"cloudmade navengine","driving directions service","mapping","2010-11-22"
"cordc hf radar maps","vector mapping service","mapping","2011-09-02"
"cs50 harvardmaps","harvard map data","mapping","2011-09-13"
"daum maps","mapping services","mapping","2011-07-12"
"dc master address registry","district of columbia gis/mapping service","mapping","2012-02-01"
"decarta","location-based services","mapping","2005-09-11"
"dehood","location based application design service","mapping","2011-08-04"
"denmark web service","denmark address and municipality services","mapping","2008-05-25"
"deserthail geodata service","geodata retrieval service","mapping","2012-01-20"
"dublin city community maps","dublin amenities location service","mapping","2011-12-06"
"dynamic geometry","mapping data service","mapping","2011-11-29"
"earthmine direct data","programmatic access to street-level imagery","mapping","2008-07-27"
"earthmine flash viewer","street-level imagery services","mapping","2008-07-27"
"edisonave geocoder","forward and reverse geocoding service","mapping","2010-08-24"
"eea discomap","environmental mapping service","mapping","2011-04-08"
"ericsson 3d landscape","3d landscape tool","mapping","2011-02-08"
"ericsson mobile maps","mobile mapping service","mapping","2009-07-01"
"ericsson web maps","online mapping service","mapping","2009-07-01"
"esri arcgis javascript","mapping services","mapping","2008-07-13"
"factual places","open data for sharing and reference tools","mapping","2011-08-08"
"fraudlabs mexico postal code","mexican postal code geolocation service","mapping","2010-10-20"
"fwix","geolocation and location-based content service","mapping","2011-11-10"
"fwix location","business listing service","mapping","2011-04-21"
"geocoder","geocoding services for us","mapping","2006-02-15"
"geocoder.ca","geocoding services for canada","mapping","2006-02-15"
"geocoding service for korea","korean geocoding service","mapping","2008-04-20"
"geocommunicator","blm public lands mapping and data service","mapping","2011-12-13"
"geocubes","mapping search service","mapping","2009-04-17"
"geognos world countries","worldwide geocoding information service","mapping","2010-12-29"
"geogratis","geographic data and mapping service","mapping","2012-01-19"
"geoiq","geo data visualization and analysis","mapping","2006-11-15"
"geoloqi","location sharing service","mapping","2010-12-14"
"geomaker","geo enrichment platform","mapping","2011-06-30"
"geoportail","french geomapping overlay service","mapping","2011-08-19"
"geosmart","new zealand geospatial and mapping services","mapping","2007-11-18"
"geospan","geographic information and visualization service","mapping","2011-10-17"
"getmapping","aerial photography and mapping service","mapping","2007-08-15"
"gis cloud","geospatial data cloud hosting & map creation service","mapping","2011-09-08"
"globexplorer","mapping services","mapping","2006-07-09"
"gloe","geo-tagging service","mapping","2011-01-21"
"google directions","driving directions web service","mapping","2010-05-19"
"google distance matrix","travel distance based on google maps","mapping","2011-05-20"
"google earth","mapping and 3d geo visualization","mapping","2008-06-01"
"google gears geolocation","user geographical positioning service","mapping","2008-08-24"
"google geocoding","google maps geocoding service","mapping","2010-12-09"
"google latitude","location sharing service","mapping","2010-05-21"
"google maps","mapping services","mapping","2005-12-05"
"google maps data","service to store update and view geodata","mapping","2009-05-20"
"google maps elevation","get elevation data for any location","mapping","2010-03-25"
"google maps flash","flash-based mapping service","mapping","2008-05-17"
"google places","local business and point of interest service","mapping","2010-05-20"
"google static maps","simple online mapping service","mapping","2008-02-24"
"heatmap","heat map generator service","mapping","2008-07-03"
"helsinki city service map","city services maps","mapping","2011-12-06"
"hyperpublic","geographic data collection service","mapping","2011-11-21"
"infochimps geo","geographic data and mapping service","mapping","2011-08-30"
"inside idaho","state geospatial information service","mapping","2012-01-10"
"ip address location","ip address lookup service","mapping","2011-11-29"
"isharemaps on demand","uk postcode geocoder","mapping","2006-05-22"
"koordinates","mapping layers data service","mapping","2010-07-19"
"local search maps geocoder","geocoding integration service","mapping","2011-11-03"
"loxcel","location based mapping service","mapping","2011-01-05"
"map.search.ch","interactive map of switzerland","mapping","2011-05-25"
"map24 ajax","mapping services","mapping","2006-09-01"
"map4app","map integration service","mapping","2011-10-26"
"mapbox","mapping service","mapping","2011-10-25"
"mapfluence","mapping infrastructure and data access","mapping","2010-09-02"
"maplarge","embed interactive maps on websites","mapping","2010-12-17"
"maponics","mapping data service","mapping","2009-04-03"
"mapping l.a.","geographic boundary service","mapping","2010-09-28"
"mappr","photo mapping","mapping","2006-02-14"
"mappy","french mapping service","mapping","2010-02-18"
"mapquest","online mapping service","mapping","2008-03-08"
"mapquest directions","driving directions service","mapping","2010-11-16"
"mapquest geocoding","forward and reverse geocoding service","mapping","2010-11-22"
"mapquest nominatim search","geographic search service","mapping","2010-11-22"
"mapquest open","online mapping service","mapping","2011-01-12"
"mapquest open directions","driving directions service","mapping","2010-11-15"
"mapquest open elevation","elevation data service","mapping","2010-11-22"
"mapquest open guidance","mobile navigation service","mapping","2011-01-25"
"mapquest open static map","simple online mapping service","mapping","2011-05-12"
"mapquest search","geographic search service","mapping","2010-11-22"
"mapquest static map","simple online mapping service","mapping","2010-11-22"
"mapquest traffic","traffic report service","mapping","2010-11-16"
"mapstraction","mapping api abstraction layer","mapping","2006-07-04"
"maptimize","google maps optimization service","mapping","2010-11-01"
"mapy","czech mapping services","mapping","2008-12-21"
"mastercard atm locations","atm information service","mapping","2011-02-09"
"metacarta","location and geotagging services","mapping","2006-07-06"
"metro mapper","louisville kentucky data maps","mapping","2011-12-09"
"micello","indoor mapping service","mapping","2011-11-19"
"microsoft bing maps","mapping services","mapping","2005-12-02"
"microsoft mappoint","mapping services","mapping","2005-11-19"
"minnesota ctu dataset","minnesota mapping database","mapping","2011-12-06"
"multimap","global online mapping service","mapping","2007-03-23"
"myavoxdata","business entity data","mapping","2011-09-06"
"mygeoposition geopicker","geocoding and location service","mapping","2010-11-09"
"nac real-time mapping","realtime mapping service","mapping","2011-05-16"
"nac real-time routing","realtime driving directions service","mapping","2011-05-16"
"nasa","satellite mapping images","mapping","2005-09-06"
"national map viewer","usgs arcgis mapping service","mapping","2011-11-08"
"naver maps","korean mapping service","mapping","2006-08-15"
"nearby.org.uk","geocoding service for uk","mapping","2006-03-22"
"nokia ovi maps","online mapping service","mapping","2009-06-04"
"nokia ovi maps rendering","online mapping service","mapping","2011-06-28"
"nokia ovi places","online mapping service","mapping","2011-06-28"
"numaps","map based information","mapping","2010-06-05"
"olpcmap","education technology mapping service","mapping","2011-12-19"
"ondi.ro geocoding","romanian geocoding service","mapping","2009-05-26"
"ontok","geocode any us address","mapping","2005-11-01"
"openaddresses geolocated address search","worldwide address search service","mapping","2010-05-13"
"openlayers","mapping api abstraction layer","mapping","2006-07-09"
"openrouteservice","open geodata route-finding service","mapping","2011-11-25"
"openstreetmap","the free wiki world map","mapping","2005-12-28"
"openstreetmap name finder","location based information service","mapping","2010-05-17"
"ordnance survey openspace","online mapping service","mapping","2007-12-18"
"oremgeocoder","utah geocoding service","mapping","2011-12-13"
"overpass openstreetmap","collaborative mapping service","mapping","2011-09-22"
"parcelstream","parcel boundary data for mapping apps","mapping","2010-07-19"
"peekacity","location-based services","mapping","2008-05-25"
"phl","philadelphia geodata","mapping","2011-10-18"
"placecast","location mapping tool","mapping","2010-04-06"
"placeiq","location data and mapping service","mapping","2011-04-23"
"platial","collaborative geographic service","mapping","2006-08-31"
"point-in-polygon census intersection","u.s. census data mapping service","mapping","2011-11-30"
"poly9 freeearth","3d mapping service","mapping","2007-05-10"
"postcode anywhere","uk and international address management software postcode finder web services and more","mapping","2008-03-25"
"postcode anywhere address services","address capture lookup and search","mapping","2011-03-09"
"postcode anywhere geocoding","geolocation service","mapping","2011-03-08"
"postcode anywhere maps","online mapping service","mapping","2011-03-08"
"postcode anywhere route optimisation","find best route between locations","mapping","2011-03-09"
"postcode anywhere store finder","uk business listings service","mapping","2011-03-09"
"pushpin","mapping service","mapping","2006-09-22"
"pushpin location data","location and statistical information about places","mapping","2008-05-17"
"ravegeo webmap","javascript mapping service","mapping","2011-06-28"
"seismi","earthquake data visualization service","mapping","2011-10-31"
"serviceobjects dots address","address validation and geocoding services","mapping","2011-08-08"
"sightwalk","german streetview service","mapping","2010-03-31"
"simplegeo","location services platform","mapping","2010-03-31"
"simplegeo context","location context search","mapping","2010-12-10"
"simplegeo places","location search service","mapping","2010-12-10"
"simplemappr","point map creation service","mapping","2011-12-06"
"singapore geocoder","singapore postal code geocoder","mapping","2008-07-03"
"south african yellowpages maps","mapping service","mapping","2011-07-14"
"spatialstream","saas geospatial application service","mapping","2011-11-22"
"telenav ajax maps","integration service for telenav maps","mapping","2011-10-17"
"telenav geocloud","location based service integration","mapping","2011-10-17"
"teliasonera landmark api","location tracking service","mapping","2010-11-30"
"tiny geocoder","geocoding services","mapping","2008-12-14"
"townme geo","business listings poi reverse geocoder","mapping","2009-10-20"
"umap","flash-based mapping api","mapping","2008-08-11"
"umapper","emeddable flash maps","mapping","2009-12-23"
"umapper","map authoring application","mapping","2009-11-13"
"urban mapping mapfluence","urban geo-spatial data services","mapping","2007-05-22"
"urban mapping neighborhoods","urban geo-spatial data services","mapping","2011-09-01"
"us yellow pages","us yellow pages telephone directory","mapping","2006-10-09"
"usc webgis geocoder","geolocation service","mapping","2010-10-20"
"usgeocoder","address information lookup service","mapping","2011-11-29"
"usgs elevation query service","determine elevation based on latitude and longitude","mapping","2007-01-23"
"usgs gazetteer query","geological data service","mapping","2011-08-23"
"vehiclepath","vehicle fleet tracking service","mapping","2010-12-29"
"verizon navbuilder locationkit","mobile geolocation service","mapping","2011-02-15"
"verizon navbuilder mapkit","mobile location based services","mapping","2011-02-15"
"verizon navigation","mobile navigation service","mapping","2011-02-23"
"vs30 map server","seismic hazard estimating service","mapping","2011-10-31"
"wayfaring","map creation and sharing service","mapping","2006-02-24"
"weogeo","geo-data storage and sharing service","mapping","2010-09-27"
"where gps","mobile gps widget platform","mapping","2006-06-06"
"where is tim web service","location tracking","mapping","2006-09-11"
"whereis","australian and new zealand mapping service","mapping","2007-04-15"
"wikimapia","editable interactive maps","mapping","2011-04-21"
"xtracked","mobile location service","mapping","2010-12-07"
"yahoo geocoding","geocoding services","mapping","2006-02-14"
"yahoo geoplanet","geo-referencing service","mapping","2009-12-04"
"yahoo internet location platform","spatial interoperability and geographic discovery","mapping","2008-05-13"
"yahoo map image","map image creation service","mapping","2005-11-19"
"yahoo maps","mapping services","mapping","2005-11-19"
"yahoo placefinder","geocoding of named places","mapping","2010-06-22"
"yahoo placemaker","geo-enrichment service","mapping","2009-05-20"
"yandex maps","online mapping service","mapping","2011-02-22"
"your mapper","online mapping service","mapping","2009-08-21"
"zeemaps","embedded maps and international geocoding","mapping","2006-02-23"
"zipfource","u.s. address validation and standarization service","mapping","2011-11-30"
"zoomin","new zealand mapping service","mapping","2006-05-10"
"acoustid","audio fingerprinting service","media management","2011-12-13"
"bbc","media program information service","media management","2006-05-05"
"blubrry","media hosting service","media management","2011-07-28"
"cellblock","real-time multimedia file sharing","media management","2007-11-18"
"cincopa","rich media website platform","media management","2011-07-14"
"divshare","media hosting service","media management","2010-01-14"
"drivecast","web based media management","media management","2010-01-14"
"flingo","video sharing service","media management","2011-12-16"
"grouper video","video sharing service","media management","2006-03-20"
"imageshack","online photo and video sharing service","media management","2010-03-09"
"inzu","cms for the music industry","media management","2010-11-17"
"ipernity","media sharing service","media management","2007-08-27"
"joomeo","media interfacing service","media management","2011-08-02"
"kaltura","media platform customization service","media management","2011-12-09"
"metacdn","cloud-based content delivery and media streaming service","media management","2012-01-20"
"orb","digital media remote access and management","media management","2005-09-25"
"phanfare","photo and video sharing service","media management","2007-01-20"
"streaming video provider","hosted media storage and streaming service","media management","2012-01-05"
"streamload","online media storage","media management","2006-03-10"
"transloadit","media upload processing and storage","media management","2010-11-03"
"wappwolf","file management service","media management","2011-09-27"
"webdam","digital asset management service","media management","2012-01-26"
"itunes & app store search","apple product search","media search","2011-12-09"
"library of congress prints & photographs","image search service","media search","2011-12-23"
"open images","audiovisual archive service","media search","2011-12-19"
"pond5","stock media marketplace","media search","2011-09-20"
"aidsinfo","government info on hiv/aids treatment","medical","2011-07-26"
"biolabeler","library of medicine text extractor and indexing engine","medical","2011-12-23"
"boliven","online repository of medical device information","medical","2012-01-19"
"cdc wonder","cdc health statistics retrieval service","medical","2011-11-15"
"centers for disease control (cdc) content syndication","health information content syndication service","medical","2011-09-27"
"chembank","biomedical database","medical","2012-01-17"
"china cancer database","chinese cancer information database","medical","2012-01-31"
"clinicaltrials.gov","clinical trials database and registry","medical","2011-07-26"
"cpath","medical database lookup","medical","2005-09-04"
"data.medicare.gov","medicare information and datasets","medical","2011-09-27"
"doctor dial","medical office appointment reminder & message service","medical","2011-12-11"
"dossia","health information aggregation service","medical","2010-04-14"
"ebi","bioinformatics research database","medical","2008-08-17"
"genecruiser","genomic information database","medical","2012-01-17"
"google health","health data service","medical","2008-05-19"
"health indicators warehouse","health indicators database","medical","2011-09-20"
"healthtap","online health network service","medical","2011-12-06"
"hipaaspace","hipaa code lookup services","medical","2011-11-15"
"hospital compare","hospital comparison service","medical","2009-12-04"
"indivo health","health record manipulation services","medical","2008-11-30"
"kegg","bioinformatics data services","medical","2006-08-23"
"medlineplus","health information service","medical","2011-07-26"
"medlineplus connect","health information service","medical","2011-07-26"
"microsoft healthvault","health-related data storage security and records","medical","2008-11-30"
"national drug file-reference terminology","clinical information about medications","medical","2011-08-02"
"national library of medicine chemspell","chemical reference database","medical","2011-07-26"
"national library of medicine dirline","medical information resource database","medical","2011-07-26"
"national practitioner data bank","health care practitioner information service","medical","2011-12-19"
"ncbi entrez","life sciences search services","medical","2006-07-16"
"nhs","uk national health service","medical","2008-07-03"
"pathway commons","biological pathway research data service","medical","2011-11-23"
"pdbj","protein data bank services","medical","2008-09-21"
"pillbox","medication identification service","medical","2011-07-26"
"praxeon","medical language search service","medical","2008-03-01"
"rcsb protein data bank","3d protein database","medical","2011-11-01"
"rxnorm","clinical drug vocabularies","medical","2011-07-26"
"rxterms","drug prescription terminolgies","medical","2011-07-26"
"seqhound","bioinformatics research database","medical","2005-09-04"
"toxnet","toxicology database","medical","2011-07-26"
"unified medical language system","medical terminology & taxonomy service","medical","2011-11-15"
"uniprot","protein sequence and annotation services","medical","2008-07-20"
"web api for biology","biological sequence search and analysis","medical","2008-07-19"
"#blue","text messaging storage service","messaging","2011-04-23"
"2-waysms","sms messaging service","messaging","2010-12-07"
"3jam","reply-all text messaging service","messaging","2008-09-03"
"411sync","sms wap and email messaging","messaging","2006-02-08"
"abctext.com","sms text messaging service","messaging","2010-04-18"
"ablesms","sms integration service","messaging","2011-10-14"
"abtxt","sms gateway service","messaging","2012-01-30"
"amazon sns","application notification service","messaging","2011-11-10"
"anchor sms customer management","sms customer management service","messaging","2010-09-27"
"aql","sms solutions portal","messaging","2007-07-01"
"audioboo","audio sharing platform","messaging","2011-02-15"
"betwext broadcast","sms messaging service","messaging","2011-11-30"
"betwext remind","sms reminder service","messaging","2011-11-30"
"btexty","text messaging service","messaging","2009-05-08"
"bulksms","global sms messaging","messaging","2009-10-07"
"cdyne sms notify","sms messaging service","messaging","2010-11-10"
"celltrust","sms messaging","messaging","2008-06-01"
"clickatell","sms messaging services","messaging","2006-09-07"
"clickatell ftp","sms messaging services via ftp","messaging","2009-11-22"
"clickatell smpp","sms messaging services via smpp","messaging","2009-11-22"
"clickatell smtp","sms messaging services via smtp","messaging","2009-11-22"
"clickatell xml","sms messaging services","messaging","2009-11-22"
"club texting","sending and receiving sms","messaging","2010-08-16"
"connection software sms","bulk sms messaging service","messaging","2011-03-07"
"deutsche telekom send sms","short messaging service","messaging","2009-02-28"
"dialogue bulk sms","sms messaging service","messaging","2011-09-22"
"distribute.it","sms messaging service","messaging","2010-12-01"
"ericsson mobile java communication framework","mobile communication service","messaging","2009-08-02"
"ericsson sms send and receive","sms messaging service","messaging","2009-07-01"
"esendex","esendex business sms text  messaging service","messaging","2007-08-06"
"express text","sms marketing service","messaging","2011-07-28"
"ez texting","sms text messaging services","messaging","2008-06-10"
"freebiesms","bulk sms messaging service","messaging","2010-12-01"
"frengo","mobile widgets and messaging platform","messaging","2008-04-12"
"geosion mobile sms","bulk sms messaging service","messaging","2010-11-11"
"gomotext sms gateway","sms mobile marketing service","messaging","2008-03-27"
"group texting","sms messaging service","messaging","2010-12-01"
"group2call","sms and voice messaging service","messaging","2009-12-04"
"hdmessaging","mobile messaging service","messaging","2011-07-28"
"hoiio sms","global sms api","messaging","2011-08-19"
"hook mobile","u.s. and canada multimedia mobile messaging service","messaging","2008-04-12"
"hqsms","bulk sms messaging service","messaging","2011-09-26"
"iig alerts","voice sms and email messaging","messaging","2008-10-15"
"intouch","mobile group messaging","messaging","2010-12-15"
"iron.io ironmq","cloud hosted messaging service","messaging","2011-12-09"
"its4sms","sms messaging service","messaging","2011-11-30"
"jaiku","social messaging service","messaging","2007-05-07"
"jott","voice to email and text service","messaging","2007-12-25"
"kik","mobile messaging platform","messaging","2011-12-13"
"kinross group","sms messaging service","messaging","2011-11-03"
"leadsmob","mobile sms and email marketing service","messaging","2011-11-04"
"lemonstorm","online texting service","messaging","2011-09-06"
"mediaburst sms","bulk sms messaging service","messaging","2010-12-07"
"mercury","mobile marketing service","messaging","2011-04-23"
"messagemedia sms","sms messaging service","messaging","2009-12-05"
"messagingpeople","messaging service","messaging","2011-03-24"
"mnatives","bulk sms messaging service","messaging","2011-08-16"
"mobile commons mdata","sms messaging and response service","messaging","2010-10-28"
"mobilestorm communication","web-based marketing service","messaging","2012-01-06"
"mobilize central","sms mobile marketing services","messaging","2008-07-27"
"mobivity","sms marketing messaging service","messaging","2007-01-19"
"mobiweb","bulk sms messaging service","messaging","2011-08-22"
"movil","sms messaging","messaging","2005-10-05"
"mozes","sms messaging service","messaging","2010-12-10"
"msgq8","sms messaging service for kuwait","messaging","2011-11-01"
"mutlusms","sms messaging service","messaging","2010-03-24"
"neospeech","text to speech service","messaging","2008-12-13"
"nexmo wholesale sms","wholesale sms api","messaging","2011-01-12"
"nibbme","sms messaging service","messaging","2010-06-17"
"notifo","mobile push notification platform","messaging","2010-12-29"
"opt it mobile","mobile marketing application","messaging","2010-12-20"
"orange mms","multimedia messaging service","messaging","2011-12-09"
"orange sms","sms text messaging service","messaging","2008-02-10"
"oventus","sms messaging service","messaging","2011-11-03"
"ozmedia","online marketing platform","messaging","2011-08-19"
"padpaw","sms text messaging services","messaging","2008-07-06"
"pgiconnect","email messaging and conferencing services","messaging","2008-11-08"
"postalmethods","web-to-post service for sending letters","messaging","2008-07-03"
"prosms","sms messaging service","messaging","2010-09-29"
"protexting sms","sms messaging service","messaging","2011-12-05"
"pswincom intouch","sms messaging service","messaging","2011-12-02"
"pswincom sms gateway","sms gateway service","messaging","2011-12-05"
"pubnub javascript push","high-volume messaging service","messaging","2011-12-09"
"ready to sms","australian sms texting service","messaging","2012-01-05"
"routomessaging sms/mms","sms messaging service","messaging","2011-06-03"
"sabifoo","im to rss conversion service","messaging","2006-05-02"
