"{|page}","{|order}","{|family}","{|genus &amp; species}","{|common name}","{|bna no.}"
"676.4","passeriformes","fringillidae","paroreomysa      flammea","kakawahie","503"
"677.1","passeriformes","fringillidae","loxops caeruleirostris","'akeke'e","295"
"677.2","passeriformes","fringillidae","loxops coccineus","'akepa","294"
"677.3","passeriformes","fringillidae","ciridops      anna","'ula-'ai-h~wane","640"
"677.4","passeriformes","fringillidae","vestiaria coccinea","'i'iwi","327"
"678.1","passeriformes","fringillidae","drepanis      pacifica","hawai'i      mamo","640"
"678.2","passeriformes","fringillidae","drepanis      funerea","black      mamo","640"
"678.3","passeriformes","fringillidae","palmeria dolei","'akohekohe","400"
"678.4","passeriformes","fringillidae","himatione sanguinea","'apapane","296"
"678.5","passeriformes","fringillidae","melamprosops phaeosoma","po'ouli","272"
"679.1","passeriformes","passeridae","passer domesticus","house sparrow","12"
"679.2","passeriformes","passeridae","passer      montanus","eurasian      tree sparrow","560"
"683.3","passeriformes","estrildidae","padda oryzivora","java sparrow","304"
"NULL","NULL","NULL","NULL","NULL","NULL"
