"code","airport","town / city","distance"
"puw","pullman-moscow regional airport","sunshine","n/a"
"mli","quad city international airport","moline","n/a"
"ukt","quakertown airport","quakertown","n/a"
"uil","quillayute airport","quillayute","n/a"
"kwn","quinhagak airport","quinhagak","n/a"
"bkw","raleigh county memorial airport","beckley","n/a"
"rdu","raleigh-durham airport","candero","n/a"
"tal","ralph m calhoun memorial airport","tanana","n/a"
"otz","ralph wien memorial airport","kotzebue","n/a"
"rnm","ramona airport","ramona","n/a"
"rmp","rampart airport","rampart","n/a"
"rap","rapid city regional airport","rapid city","n/a"
"rtn","raton municipal airport","hebron","n/a"
"rwl","rawlins municipal airport","rawlins","n/a"
"rdg","reading municipal airport","reading","n/a"
"nrs","ream field","imperial beach","n/a"
"rbl","red bluff municipal airport","red bluff","n/a"
"rdv","red devil airport","red devil","n/a"
"rdb","red dog airport","red dog mine","n/a"
"rbd","redbird airport","westwood park","n/a"
"rdd","redding municipal airport","redding","n/a"
"hua","redstone army airfield","elko","n/a"
"rhv","reid-hillview of santa clara county airport","san jose","n/a"
"rnt","renton municipal airport","renton","n/a"
"frg","republic airport","farmingdale","n/a"
"rxe","rexburg airport","rexburg","n/a"
"rhi","rhinelander-oneida county airport","rhinelander","n/a"
"rie","rice lake rice lake regional-carl's field airport","rice lake","n/a"
"rmg","richard b russell airport","rome","n/a"
"ric","richmond international airport","richmond","n/a"
"ama","rick husband amarillo international airport","amarillo","n/a"
"hrl","rio grande valley international airport","harlingen","n/a"
"ral","riverside municipal airport","riverside","n/a"
"riw","riverton regional airport","riverton","n/a"
"roa","roanoke regional airport-woodrum field","roanoke","n/a"
"wbr","roben-hood airport","big rapids","n/a"
"lrf","robert chris mcintosh airport","indian head lake estates","n/a"
"mjx","robert j. miller air park","toms river","n/a"
"rdm","roberts field-redmond municipal airport","redmond","n/a"
"rce","roche harbor seaplane base","roche harbor","n/a"
"rst","rochester rochester international airport","rochester","n/a"
"rks","rock springs-sweetwater county airport","rock springs","n/a"
"rfd","rockford greater rockford airport","blackhawk island subdivision number 2","n/a"
"rkw","rockwood municipal airport","rockwood","n/a"
"rwi","rocky mount-wilson airport","winstead crossroads","n/a"
"rog","rogers municipal airport","pleasant hill","n/a"
"mfr","rogue valley international-medford airport","medford","n/a"
"rla","rolla downtown airport","rolla","n/a"
"reo","rome state airport","rome","n/a"
"dca","ronald reagan washington national airport","washington","n/a"
"rsj","rosario seaplane base","rosario","n/a"
"htl","roscommon county-blodgett memorial airport","houghton lake","n/a"
"rbg","roseburg municipal airport","edenbower","n/a"
"stj","rosecrans memorial airport","saint joseph","n/a"
"beh","ross field-twin cities airport","benton heights","n/a"
"fwq","rostraver airport","monongahela","n/a"
"row","roswell industrial air center airport","roswell","n/a"
"srw","rowan county airport","salisbury","n/a"
"rby","ruby airport","ruby","n/a"
"rsl","russell municipal airport","russell","n/a"
"rue","russellville municipal airport","bethel","n/a"
"rsh","russian mission airport","russian mission","n/a"
"fqd","rutherford county airport","mount vernon","n/a"
"rut","rutland - southern vermont regional airport","rutland","n/a"
"sac","sacramento executive airport","sacramento","n/a"
"smf","sacramento international airport","sacramento","n/a"
"sad","safford municipal airport","solomon","n/a"
"phn","saint clair county international airport","marysville","n/a"
"sgu","saint george municipal airport","saint george","n/a"
"sjn","saint johns industrial air park","saint johns","n/a"
"cps","saint louis downtown - parks airport","maplewood park","n/a"
"aln","saint louis regional airport","oakwood heights","n/a"
"fpr","saint lucie county international airport","fort pierce","n/a"
"ksm","saint marys airport","pitkas point","n/a"
"stp","saint paul downtown holman field","saint paul","n/a"
"snp","saint paul island airport","saint paul","n/a"
"sln","salina municipal airport","salina","n/a"
"sns","salinas municipal airport","salinas","n/a"
"sby","salisbury-wicomico county regional airport","salisbury","n/a"
"slc","salt lake city international airport","salt lake city","n/a"
"sas","salton sea airport","salton city","n/a"
"ctz","sampson county airport","clinton","n/a"
"bry","samuels field","bardstown","n/a"
"sat","san antonio international airport","san antonio","n/a"
"sbd","san bernardino international airport","san bernardino","n/a"
"sql","san carlos airport","san carlos","n/a"
"san","san diego international airport","san diego","n/a"
"nzy","san diego north island naval air station","la playa","n/a"
"sfo","san francisco international airport","san francisco","n/a"
"sjc","san jose international airport","san jose","n/a"
"sbp","san luis obispo county airport","san luis obispo","n/a"
"als","san luis valley regional airport","la fruto","n/a"
"sdp","sand point airport","sand point","n/a"
"shn","sanderson field","shelton","n/a"
"sba","santa barbara municipal airport","santa barbara","n/a"
"saf","santa fe municipal airport","santa fe","n/a"
"smx","santa maria airport","santa maria","n/a"
"smo","santa monica municipal airport","santa monica","n/a"
"szp","santa paula airport","santa paula","n/a"
"sqa","santa ynez airport","santa ynez","n/a"
"srq","sarasota / bradenton international airport","ballentine manor","n/a"
"sav","savannah international airport","savannah","n/a"
"sva","savoonga airport","savoonga","n/a"
"mqt","sawyer international airport","marquette","n/a"
"scm","scammon bay airport","scammon bay","n/a"
"sch","schenectady county airport","schenectady","n/a"
"gls","scholes field","galveston","n/a"
"scf","scottsdale airport","scottsdale","n/a"
"scb","scribner state airport","scribner","n/a"
"src","searcy municipal airport","searcy","n/a"
"oga","searle airport","l and l mobile home park","n/a"
"sea","seattle-tacoma international airport","seattle","n/a"
"sef","sebring regional airport","sebring","n/a"
"dmo","sedalia memorial airport","sedalia","n/a"
"sdx","sedona airport","sedona","n/a"
"wlk","selawik airport","selawik","n/a"
"sov","seldovia airport","seldovia","n/a"
"swd","seward airport","seward","n/a"
"shx","shageluk airport","shageluk","n/a"
"skk","shaktoolik airport","shaktoolik","n/a"
"ezf","shannon airport","fredericksburg","n/a"
"sbm","sheboygan county memorial airport","sheboygan","n/a"
"smu","sheep mountain airport","NULL","n/a"
"eet","shelby county airport","alabaster","n/a"
"eho","shelby municipal airport","poplar springs","n/a"
"ssq","shell lake municipal airport","shell lake","n/a"
"shd","shenandoah valley regional airport","weyers cave","n/a"
"sps","sheppard air force base/wichita falls municipal airport","wichita falls","n/a"
"shr","sheridan county airport","sheridan","n/a"
"shh","shishmaref airport","shishmaref","n/a"
"saa","shively field","saratoga","n/a"
"sow","show low municipal airport","show low","n/a"
"dtn","shreveport downtown airport","shreveport","n/a"
"shv","shreveport regional airport","shreveport","n/a"
"shg","shungnak airport","shungnak","n/a"
"sny","sidney municipal airport","gordons mobile plaza","n/a"
"sdy","sidney-richland municipal airport","sidney","n/a"
"srr","sierra blanca regional airport","ruidoso","n/a"
"fhu","sierra vista municipal libby army air field","miles manor","n/a"
"sik","sikeston memorial municipal airport","sikeston","n/a"
"bfw","silver bay municipal airport","silver bay","n/a"
"svc","silver city airport","silver city","n/a"
"ewn","simmons nott airport","new bern","n/a"
"sux","sioux gateway airport","sioux city","n/a"
"siy","siskiyou county airport","montague","n/a"
"sit","sitka airport","sitka","n/a"
"sgy","skagway airport","skagway","n/a"
"azk","skelton airport","eureka roadhouse","n/a"
"skw","skwentna airport","skwentna","n/a"
"dyt","sky harbor airport","duluth","n/a"
"daw","skyhaven airport","rochester","n/a"
"ile","skylark field airport","killeen","n/a"
"60g","skyway estates airport","eaton rapids","n/a"
"slq","sleetmute airport","sleetmute","n/a"
"isn","sloulin field international airport","williston","n/a"
"slg","smith field","siloam springs","n/a"
"int","smith reynolds airport","winston-salem","n/a"
"mqy","smyrna airport","smyrna","n/a"
"sxq","soldotna airport","soldotna","n/a"
"sts","sonoma county airport","shiloh","n/a"
"sbn","south bend regional airport","south bend","n/a"
"gey","south big horn county airport","greybull","n/a"
"mdh","southern illinois airport","de soto","n/a"
"rsw","southwest florida international airport","fort myers","n/a"
"aby","southwest georgia regional airport","albany","n/a"
"oth","southwest oregon regional airport","north bend","n/a"
"tix","space center executive airport","bellwood","n/a"
"svw","sparrevohn lrrs airport","NULL","n/a"
"cmy","sparta-fort mccoy airport","angelo","n/a"
"spa","spartanburg downtown memorial airport","spartanburg","n/a"
"mul","spence airport","moultrie","n/a"
"60m","spencer airport","spencer","n/a"
"spw","spencer municipal airport","spencer","n/a"
"sus","spirit of saint louis airport","stevens","n/a"
"geg","spokane international airport","spokane","n/a"
"sgh","springfield-beckley municipal airport","springfield","n/a"
"sgf","springfield-branson national airport","springfield","n/a"
"stq","st marys municipal airport","kaulmont","n/a"
"pie","st. petersburg / clearwater st. petersburg / clearwater international airport","high point","n/a"
"huj","stan stamper municipal airport","hugo","n/a"
"sdf","standiford field","louisville","n/a"
"syn","stanton airfield","stanton","n/a"
"sbs","steamboat springs-bob adams field stolport","steamboat springs","n/a"
"wbb","stebbins airport","stebbins","n/a"
"slj","stellar airpark","chandler","n/a"
"hsa","stennis international airport","kiln","n/a"
"3b3","sterling airport","sterling","n/a"
"ste","stevens point municipal airport","stevens point","n/a"
"svs","stevens village airport","stevens village","n/a"
"swf","stewart international airport","newburgh","n/a"
"swo","stillwater regional airport","stillwater","n/a"
"ssf","stinson municipal airport","san antonio","n/a"
"sck","stockton metropolitan airport","stockton","n/a"
"nlc","stone airstrip","lemoore","n/a"
"wld","strother field","tresham","n/a"
"esp","stroudsburg-pocono airport","craigs meadow","n/a"
"sgt","stuttgart municipal airport","stuttgart","n/a"
"fme","suburban airport","laurel","n/a"
"siv","sullivan county airport","sullivan","n/a"
"msv","sullivan county international airport","monticello","n/a"
"slr","sulphur springs municipal airport","sulphur springs","n/a"
"evy","summit airport","middletown","n/a"
"umm","summit airport","summit","n/a"
"hsd","sundance airpark","oklahoma city","n/a"
"suo","sunriver airport","sunriver","n/a"
"suw","superior richard i. bong airport","south superior","n/a"
"sve","susanville municipal airport","susanville","n/a"
"fwn","sussex airport","sussex","n/a"
"ged","sussex county airport","georgetown","n/a"
"syr","syracuse hancock international airport","syracuse","n/a"
"tiw","tacoma narrows airport","tacoma","n/a"
"tka","talkeetna airport","talkeetna","n/a"
"asn","talladega municipal airport","talladega","n/a"
"tlh","tallahassee regional airport","tallahassee","n/a"
"ann","tamgas harbor seaplane base","annette","n/a"
"tpa","tampa international airport","tampa","n/a"
"tpf","tampa peter o knight airport","tampa","n/a"
"8b5","tanner-hiller airport","wheelwright","n/a"
"tlj","tatalina lrrs airport","takotna","n/a"
"tek","tatitlek airport","tatitlek","n/a"
"tyz","taylor airport","taylor","n/a"
"mdf","taylor county airport","medford","n/a"
"tsp","tehachapi municipal airport","tehachapi","n/a"
"tqe","tekamah municipal airport","tekamah","n/a"
"tla","teller airport","teller","n/a"
"tex","telluride regional airport","telluride","n/a"
"tpl","temple draughon-miller central texas regional airport","temple","n/a"
"tke","tenakee seaplane base","tenakee springs","n/a"
"huf","terre haute terre haute international airport - hulman field","terre haute","n/a"
"6r6","terrell county airport","dryden","n/a"
"trl","terrell municipal airport","terrell","n/a"
"teb","teterboro airport","teterboro","n/a"
"txk","texarkana regional airport","texarkana","n/a"
"dls","the dalles municipal airport","dallesport","n/a"
"fok","the francis s gabreski airport","westhampton beach","n/a"
"onl","the o'neill municipal airport","douthit trailer court","n/a"
"pvd","theodore francis green state airport","providence","n/a"
"trm","thermal airport","thermal","n/a"
"tvf","thief river falls regional airport","thief river falls","n/a"
"alx","thomas c russell field","alexander city","n/a"
"hee","thompson-robbins airport","west helena","n/a"
"ktb","thorne bay seaplane base","thorne bay","n/a"
"tnc","tin city lrrs airport","tin city","n/a"
"toc","toccoa airport","toccoa","n/a"
"tog","togiak airport","togiak","n/a"
"tkj","tok airport","tok","n/a"
"ook","toksook bay airport","toksook bay","n/a"
"tol","toledo express airport","toledo","n/a"
"duh","toledo suburban airport","lambertville","n/a"
"tdo","toledo-winlock ed carlson memorial field","cowlitz","n/a"
"tph","tonopah airport","tonopah","n/a"
"tor","torrington municipal airport","torrington","n/a"
"suu","travis air force base aero club airport","fairfield","n/a"
"ttn","trenton mercer airport","trenton","n/a"
"trx","trenton municipal airport","trenton","n/a"
"mbs","tri city international airport","falconview estates mobile home park","n/a"
"psc","tri-cities airport","pasco","n/a"
"tri","tri-cities regional airport","colby (historical)","n/a"
"ppf","tri-city airport","parsons","n/a"
"lnr","tri-county regional airport","lone rock","n/a"
"hts","tri-state airport","huntington","n/a"
"anq","tri-state steuben county airport","angola","n/a"
"trh","trona airport","trona","n/a"
"toi","troy municipal airport","troy","n/a"
"tkf","truckee tahoe airport","truckee","n/a"
"tcs","truth or consequences municipal airport","truth or consequences","n/a"
"cnw","tstc waco airport","waco","n/a"
"tbc","tuba city airport","tuba city","n/a"
"tus","tucson international airport","tucson","n/a"
"tcc","tucumcari municipal airport","tucumcari","n/a"
"tha","tullahoma regional airport","flowertown","n/a"
"tul","tulsa international airport","tulsa","n/a"
"tlt","tuluksak airport","tuluksak","n/a"
"utm","tunica tunica municipal airport","tunica","n/a"
"wtl","tuntutuliak airport","tuntutuliak","n/a"
"tcl","tuscaloosa municipal airport","tuscaloosa","n/a"
"hvn","tweed-new haven airport","morris cove","n/a"
"tnp","twentynine palms airport","twentynine palms","n/a"
"twf","twin falls airport","twin falls","n/a"
"3b5","twitchell airport","turner","n/a"
"tyr","tyler pounds field","tyler","n/a"
"ugb","ugashik bay airport","pilot point","n/a"
"ubw","ugnu-kuparuk airport","NULL","n/a"
"uki","ukiah municipal airport","ukiah","n/a"
"umt","umiat airport","umiat","n/a"
"unk","unalakleet airport","unalakleet","n/a"
"dut","unalaska airport","unalaska","n/a"
"aff","united states air force academy airstrip","air force academy","n/a"
"41g","university airpark","bath","n/a"
"cmi","university of illinois willard airport","savoy","n/a"
"sce","university park airport","state college","n/a"
"uox","university-oxford airport","oxford","n/a"
"upp","upolu airport","hawi","n/a"
"vdz","valdez airport","valdez","n/a"
"vld","valdosta regional airport","valdosta","n/a"
"vny","van nuys airport","van nuys","n/a"
"flv","vandahl airport","weston","n/a"
"vee","venetie airport","venetie","n/a"
"vnc","venice municipal airport","venice","n/a"
"dnv","vermilion county airport","campbell","n/a"
"vel","vernal airport","naples","n/a"
"vrb","vero beach municipal airport","vero beach","n/a"
"vks","vicksburg municipal airport","vicksburg","n/a"
"vct","victoria regional airport","victoria","n/a"
"bfr","virgil i grissom municipal airport","bedford","n/a"
"ntu","virginia beach oceana naval air station","gatewood park","n/a"
"bcb","virginia tech airport","airport acres","n/a"
"vis","visalia municipal airport","visalia","n/a"
"vok","volk / camp douglas","camp douglas","n/a"
"dbn","w h 'bud' barron airport","dublin","n/a"
"btl","w k kellogg airport","battle creek","n/a"
"act","waco regional airport","waco","n/a"
"adc","wadena municipal airport","wadena","n/a"
"mue","waimea-kohala airport","puopelu","n/a"
"ain","wainwright airport","wainwright","n/a"
"fbk","wainwright army air field","hamilton acres","n/a"
"waa","wales airport","wales","n/a"
"alw","walla walla regional airport","walla walla","n/a"
"arg","walnut ridge regional airport","walnut ridge","n/a"
"rrt","warroad international-swede carlson field","warroad","n/a"
"acq","waseca municipal airport","waseca","n/a"
"afj","washington county airport","washington","n/a"
"hgr","washington county regional airport","hagerstown","n/a"
"iad","washington dulles international airport","washington","n/a"
"adw","washington executive airport","tippett","n/a"
"awg","washington municipal airport","washington","n/a"
"oxc","waterbury-oxford airport","oxford","n/a"
"alo","waterloo municipal airport","waterloo","n/a"
"art","watertown international airport","watertown","n/a"
"aty","watertown municipal airport","watertown","n/a"
"ryv","watertown municipal airport","watertown","n/a"
"wvl","waterville robert lafleur airport","waterville","n/a"
"wvi","watsonville municipal airport","watsonville","n/a"
"ugn","waukegan regional airport","bancroft corners","n/a"
"ues","waukesha county airport","waukesha","n/a"
"auw","wausau municipal airport","wausau junction","n/a"
"ays","waycross-ware county airport","waycross","n/a"
"ekq","wayne county airport","monticello","n/a"
"bjj","wayne county airport","wooster","n/a"
"ebs","webster city municipal airport","webster city","n/a"
"nui","webster nolf airport","saint inigoes shores","n/a"
"euf","weedon field","eufaula","n/a"
"elz","wellsville municipal airport-tarantine field","norton summit","n/a"
"49g","wend valley airport","charlotte","n/a"
"env","wendover airport","wendover","n/a"
"etb","west bend municipal airport","west bend","n/a"
"iws","west houston airport","houston","n/a"
"awm","west memphis municipal airport","west memphis","n/a"
"kwp","west point village seaplane base","NULL","n/a"
"wwr","west woodward airport","woodward","n/a"
"hpn","westchester county airport","white plains","n/a"
"wst","westerly state airport","westerly","n/a"
"bff","western nebraska regional airport","scottsbluff","n/a"
"cef","westover air reserve base / metropolitan airport b/metropolitan","freeman knoll","n/a"
"cad","wexford county airport","cadillac","n/a"
"hhi","wheeler army air field","wahiawā","n/a"
"hlg","wheeling ohio county airport","wheeling","n/a"
"wmo","white mountain airport","white mountain","n/a"
"whp","whiteman airport","pacoima","n/a"
"tdf","whitfield farms airport","hurdle mills","n/a"
"iem","whittier airport","whittier","n/a"
"ict","wichita mid-continent airport","wichita","n/a"
"f05","wilbarger county airport","vernon","n/a"
"pwa","wiley post airport","oklahoma city","n/a"
"brw","wiley post-will rogers memorial airport","barrow","n/a"
"qwg","wilgrove air park","charlotte","n/a"
"wbw","wilkes-barre wyoming valley airport","wilkes barre","n/a"
"avp","wilkes-barre/scranton international airport","browns","n/a"
"okc","will rogers world airport","oklahoma city","n/a"
"ddh","william h. morse state airport","bennington","n/a"
"hou","william p hobby airport","houston","n/a"
"clm","william r fairchild international airport","port angeles","n/a"
"mwa","williamson county regional airport","marion","n/a"
"ipt","williamsport-lycoming county airport","williamsport","n/a"
"uuo","willow airport","willow","n/a"
"nxx","willow grove naval air station","meetinghouse village","n/a"
"yip","willow run airport","detroit","n/a"
"wlw","willows-glenn county airport","willows","n/a"
"ilm","wilmington international airport","wilmington","n/a"
"rqe","window rock airport","window rock","n/a"
"bbx","wings field","philadelphia","n/a"
"ink","winkler county airport","wink","n/a"
"wmc","winnemucca municipal airport","winnemucca","n/a"
"ona","winona municipal airport-max conrad field","winona","n/a"
"inw","winslow municipal airport","winslow","n/a"
"gif","winter haven's gilbert airport","winter haven","n/a"
"iss","wiscasset airport","wiscasset","n/a"
"sua","witham field","stuart","n/a"
"osh","wittman regional airport","oshkosh","n/a"
"ukl","wolf creek airport","burlington","n/a"
"pkb","wood county airport","parkersburg","n/a"
"cdn","woodward field","camden","n/a"
"orh","worcester worcester regional airport","worcester","n/a"
"wrl","worland municipal airport","worland","n/a"
"wrg","wrangell airport","wrangell","n/a"
"cyt","yakataga airport","cape yakataga","n/a"
"ykm","yakima air terminal airport","yakima","n/a"
"yak","yakutat airport","yakutat","n/a"
"hdn","yampa valley airport","hayden","n/a"
"crw","yeager airport","charleston","n/a"
"wys","yellowstone airport","west yellowstone","n/a"
"cod","yellowstone regional airport","cody","n/a"
"thv","york airport","york","n/a"
"muo","young landing area","bruneau","n/a"
"yng","youngstown-warren regional airport","four seasons mobile home park","n/a"
"myv","yuba county airport","marysville","n/a"
"yum","yuma international airport","yuma","n/a"
"toa","zamperini field","torrance","n/a"
"zzv","zanesville municipal airport","zanesville","n/a"
"zph","zephyrhills municipal airport","zephyrhills","n/a"
