"species","last recorded","status","&nbsp;&nbsp;       2004 -2010","2011","notes"
"larix kaempferi (japanese larch)","1987-1999","alien","yes","&nbsp;","&nbsp;"
"lathraea squamaria (toothwort)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;paddock hill woods"
"lathyrus aphaca (yellow vetchling)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"lathyrus latifolius (broad-leaved everlasting-pea)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;last seen 1988 - streetgate&nbsp;"
"lathyrus linifolius (bitter-vetch)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"lathyrus nissolia (grass vetchling)","1987-1999","alien","yes","&nbsp;","&nbsp;"
"lathyrus pratensis (meadow vetchling)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"lathyrus sylvestris (narrow-leaved everlasting-pea)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"lathyrus tuberosus (tuberous pea)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"lavatera arborea (tree-mallow)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"lavatera trimestris (royal mallow)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"lemna minor (common duckweed)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"lemna minuta (least duckweed)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"lemna trisulca (ivy-leaved duckweed)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"leontodon autumnalis (autumn hawkbit)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"leontodon hispidus (rough hawkbit)","1987-1999","native","&nbsp;","a","&nbsp;"
"leontodon saxatilis (lesser hawkbit)","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"leonurus cardiaca (motherwort)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"lepidium campestre (field pepperwort)","1970-1986","alien","yes","&nbsp;","&nbsp;shibdon pond since 2002"
"lepidium draba (hoary cress)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"lepidium heterophyllum (smith's pepperwort)","1987-1999","native","yes","&nbsp;","&nbsp;"
"lepidium latifolium (dittander)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"lepidium ruderale (narrow-leaved pepperwort)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"lepidium sativum (garden cress)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"leucanthemum lacustre x l. maximum (shasta daisy)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"leucanthemum vulgare (oxeye daisy)","1987-1999","native","&nbsp;yes","&nbsp;a","&nbsp;"
"leucojum aestivum (summer snowflake)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"leycesteria formosa (himalayan honeysuckle)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"leymus arenarius (lyme-grass)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"ligustrum ovalifolium (garden privet)","1987-1999","alien","yes","&nbsp;","&nbsp;"
"ligustrum vulgare (wild privet)","1987-1999","native","yes","&nbsp;","&nbsp;"
"lilium martagon (martagon lily)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"lilium pyrenaicum (pyrenean lily)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"linaria purpurea (purple toadflax)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"linaria repens (pale toadflax)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"linaria supina (prostrate toadflax)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"linaria vulgaris (common toadflax)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"linnaea borealis (twinflower)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"linum catharticum (fairy flax)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"linum perenne (perennial flax)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"linum usitatissimum (flax)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"listera cordata (lesser twayblade)","pre-1970","native","extinct","extinct","&nbsp;"
"listera ovata (common twayblade)","1987-1999","native","&nbsp;&nbsp;2005 only","&nbsp;","&nbsp;"
"lithospermum arvense (field gromwell)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"lobelia erinus&nbsp; (garden lobelia)","recorded since 1999","alien","2008 only","&nbsp;","&nbsp;"
"lobularia maritima (sweet alison)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"lolium multiflorum (italian rye-grass)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"lolium multiflorum x l. perenne&nbsp;&nbsp;","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"lolium perenne (perennial rye-grass)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"lolium temulentum (darnel)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"lonicera nitida (wilson's honeysuckle)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"lonicera periclymenum (honeysuckle)","1987-1999","native","yes","a","&nbsp;"
"lonicera xylosteum (fly honeysuckle)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"lotus corniculatus (common bird's-foot-trefoil)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"lotus glaber (narrow-leaved bird's-foot-trefoil)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"lotus pedunculatus (greater bird's-foot-trefoil)","1987-1999","native","yes","a","&nbsp;"
"lunaria annua (honesty)","1987-1999","alien","yes","&nbsp;    a","&nbsp;"
"lupinus polyphyllus (garden lupin)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"luronium natans (floating water-plantain)","pre-1970","native","extinct","extinct","&nbsp;marsh at birtley 1930 now built over."
"luzula campestris (field wood-rush)","1987-1999","native","&nbsp;&nbsp;&nbsp;yes","a","&nbsp;"
"luzula luzuloides (white wood-rush)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"luzula multiflora (heath wood-rush)","1987-1999","native","&nbsp;","a","&nbsp;"
"luzula pilosa (hairy wood-rush)","1987-1999","native","&nbsp;&nbsp;yes","a","&nbsp;"
"luzula sylvatica (great wood-rush)","1987-1999","native","&nbsp;&nbsp;yes","a","&nbsp;"
"lychnis flos-cuculi (ragged-robin)","1987-1999","native","yes","&nbsp;","&nbsp;"
"lycium agg. (teaplants)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"lycopersicon esculentum (tomato)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"lycopodium clavatum (stag's-horn clubmoss)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;marley hill pit heap. lowland heath at lockhaugh       &amp; gibside"
"lycopus europaeus (gipsywort)","1987-1999","native","yes","&nbsp;","&nbsp;"
"lysimachia ciliata (fringed loosestrife)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"lysimachia nemorum (yellow pimpernel)","1987-1999","native","yes","&nbsp;","&nbsp;"
"lysimachia nummularia (creeping-jenny)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"lysimachia punctata (dotted loosestrife)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"lysimachia vulgaris (yellow loosestrife)","1987-1999","native","yes","&nbsp;","&nbsp;"
"lythrum portula (water-purslane)","pre-1970","native","extinct","extinct","&nbsp;"
"lythrum salicaria (purple-loosestrife)","1987-1999","native","yes","&nbsp;","&nbsp;"
"mahonia aquifolium (oregon-grape)","1987-1999","alien","yes","&nbsp;","&nbsp;"
"malus domestica sens. lat. (apples)","1987-1999","native","&nbsp;&nbsp;&nbsp;yes","a","&nbsp;"
"malus sylvestris (crab apple)","1987-1999","native","&nbsp;&nbsp;yes","a","&nbsp;"
"malva moschata (musk-mallow)","1987-1999","native","yes","&nbsp;","NULL"
"malva neglecta (dwarf mallow)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"malva sylvestris (common mallow)","1987-1999","alien","yes","&nbsp;","&nbsp;"
"matricaria discoidea (pineappleweed)","1987-1999","alien","&nbsp;yes","a","&nbsp;"
"matricaria recutita (scented mayweed)","1987-1999","alien","yes","&nbsp;","&nbsp;"
"meconopsis cambrica (welsh poppy)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"medicago arabica (spotted medick)","pre-1970","alien","since 2008&nbsp;","&nbsp;","&nbsp;"
"medicago lupulina (black medick)","1987-1999","native","&nbsp;&nbsp;yes","a","&nbsp;"
"medicago polymorpha (toothed medick)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"medicago sativa subsp. falcata (sickle medick)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"medicago sativa subsp. sativa (lucerne)","1970-1986","alien","yes","&nbsp;","large amounts at&nbsp;stargate 2002-2003"
"melampyrum pratense (common cow-wheat)","1987-1999","native","&nbsp;&nbsp;yes","&nbsp;","&nbsp;"
"melica nutans (mountain melick)","1970-1986","native","&nbsp;","&nbsp;","&nbsp;acre dene woods lamesley &amp; chopwell"
"melica uniflora (wood melick)","1987-1999","native","yes","&nbsp;","&nbsp;"
"melilotus albus (white melilot)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"melilotus altissimus (tall melilot)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"melilotus indicus (small melilot)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;stella (2001) and timber beach dunston      (2003)"
"melilotus officinalis (ribbed melilot)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"melissa officinalis (balm)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"mentha aquatica (water mint)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"mentha aquatica x m. arvensis (whorled mint)","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"mentha aquatica x m. arvensis x m.spic. (tall       mint)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"mentha aquatica x m. spicata (peppermint)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"mentha arvensis (corn mint)","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"mentha arvensis x m. spicata (bushy mint)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"mentha spicata (spear mint)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"mentha spicata x m. suaveolens (apple-mint)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;last seen 1990 - old railway line at sunniside"
"mentha suaveolens (round-leaved mint)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"menyanthes trifoliata (bogbean)","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"mercurialis annua (annual mercury)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"mercurialis perennis (dog's mercury)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"milium effusum (wood millet)","1987-1999","native","yes","&nbsp;","&nbsp;"
"mimulus guttatus (monkeyflower)","1987-1999","alien","yes","&nbsp;","&nbsp;"
"mimulus guttatus x m. luteus (hybrid monkeyflower)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"mimulus luteus (blood-drop-emlets)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"minuartia verna (spring sandwort)","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"misopates orontium (weasel's-snout)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"moehringia trinervia (three-nerved sandwort)","1987-1999","native","&nbsp;","a","&nbsp;"
"molinia caerulea (purple moor-grass)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"montia fontana (blinks)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"muscari neglectum (grape-hyacinth)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"mycelis muralis (wall lettuce)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"myosotis arvensis (field forget-me-not)","1987-1999","alien","&nbsp;     yes","a","&nbsp;"
"myosotis discolor (changing forget-me-not)","1987-1999","native","yes","&nbsp;","&nbsp;"
"myosotis laxa (tufted forget-me-not)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"myosotis ramosissima (early forget-me-not)","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"myosotis scorpioides (water forget-me-not)","1987-1999","native","yes","a","&nbsp;"
"myosotis secunda (creeping forget-me-not)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"myosotis sylvatica (wood forget-me-not)","1987-1999","native","&nbsp;&nbsp;yes","a","&nbsp;"
"myosoton aquaticum (water chickweed)","1970-1986","native","NULL","&nbsp;","NULL"
"myosurus minimus (mousetail)","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"myriophyllum spicatum (spiked water-milfoil)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"myriophyllum verticillatum (whorled water-milfoil)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"myrrhis odorata (sweet cicely)","1987-1999","alien","&nbsp;&nbsp;yes","a","&nbsp;"
"narcissus agg. (daffodils)","1987-1999","alien","&nbsp;yes","a","&nbsp;"
"narcissus poeticus. (pheasant's-eye daffodil)","recorded since 1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"nardus stricta (mat-grass)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"narthecium ossifragum (bog asphodel)","pre-1970","native","extinct","extinct","&nbsp;"
"neottia nidus-avis (bird's-nest orchid)","pre-1970","native","extinct","extinct","&nbsp;"
"nepeta cataria (cat-mint)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"nepeta nepetella x n. racemosa (garden cat-mint)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;low team bridge 1974"
"neslia paniculata (ball mustard)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"nuphar lutea (yellow water-lily)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"nymphaea alba (white water-lily)","1987-1999","native","&nbsp;","&nbsp;","axwell park"
"nymphoides peltata (fringed water-lily)","pre-1970","alien","yes","&nbsp;","stargate"
"odontites vernus (red bartsia)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"oenanthe aquatica (fine-leaved water-dropwort)","pre-1970","native","extinct","extinct","&nbsp;"
"oenanthe crocata (hemlock water-dropwort)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"oenanthe fistulosa (tubular water-dropwort)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"oenanthe lachenalii (parsley water-dropwort)","pre-1970","native","extinct","extinct","&nbsp;"
"oenothera biennis (common evening-primrose)","1970-1986","alien","yes","&nbsp;","&nbsp;"
"oenothera glazioviana (large-flowered evening-primrose)","1970-1986","alien","yes&nbsp;","&nbsp;","&nbsp;"
"oenothera stricta (fragrant evening-primrose)","recorded since 1999","alien","{&nbsp;|yes&nbsp;}","&nbsp;","&nbsp;"
"onobrychis viciifolia (sainfoin)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"ononis repens (common restharrow)","1987-1999","native","yes","&nbsp;","&nbsp;"
"ononis spinosa (spiny restharrow)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"onopordum acanthium (cotton thistle)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"ophioglossum vulgatum (adder's-tongue)","1987-1999","native","yes","&nbsp;","&nbsp;"
"ophrys apifera (bee orchid)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"orchis mascula (early-purple orchid)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"orchis morio (green-winged orchid)","pre-1970","native","extinct","extinct","&nbsp;old record from birtley"
"orchis ustulata (burnt orchid)","pre-1970","native","extinct","extinct","&nbsp;old record from ouston"
"oreopteris limbosperma (lemon-scented fern)","1987-1999","native","&nbsp;","a","&nbsp;"
"origanum vulgare (wild marjoram)","1970-1986","native","&nbsp;yes","&nbsp;","re-discovered at timber beach july 2003-2006 and     biritley 2007-2008"
"ornithogalum angustifolium (star-of-bethlehem)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"ornithopus compressus (yellow serradella)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"ornithopus perpusillus (bird's-foot)","1987-1999","native","yes","&nbsp;","&nbsp;"
"orobanche minor (common broomrape)","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"orobanche rapum-genistae (greater broomrape)","pre-1970","native","extinct","extinct","&nbsp;"
"osmunda regalis (royal fern)","pre-1970","native","extinct","extinct","&nbsp;"
"oxalis acetosella (wood-sorrel)","1987-1999","native","&nbsp;&nbsp;&nbsp;yes","&nbsp;","&nbsp;"
"panicum miliaceum (common millet)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"papaver argemone (prickly poppy)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"papaver atlanticum (atlas poppy)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"papaver dubium subsp. dubium (long-headed poppy)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"papaver dubium subsp. lecoqii (lecoq's poppy)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"papaver hybridum (rough poppy)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"papaver pseudoorientale (oriental poppy)","recorded since 1999","alien","yes","&nbsp;","wasteground near metrocentre (2008)"
"papaver rhoeas (common poppy)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"papaver somniferum (opium poppy)","1987-1999","alien","yes","&nbsp;","&nbsp;"
"parietaria judaica (pellitory-of-the-wall)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"paris quadrifolia (herb-paris)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"parnassia palustris (grass-of-parnassus)","pre-1970","native","extinct","extinct","&nbsp;"
"pastinaca sativa (wild parsnip)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"pedicularis palustris (marsh lousewort)","pre-1970","native","extinct","extinct","NULL"
"pedicularis sylvatica (lousewort)","1987-1999","native","yes","&nbsp;","&nbsp;"
"pentaglottis sempervirens (green alkanet)","1987-1999","alien","yes","&nbsp;","&nbsp;"
"persicaria amphibia (amphibious bistort)","1987-1999","native","yes","&nbsp;","&nbsp;"
"persicaria bistorta (common bistort)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"persicaria hydropiper (water-pepper)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"persicaria lapathifolia (pale persicaria)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"persicaria maculosa (redshank)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"persicaria minor (small water-pepper)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"persicaria mitis (tasteless water-pepper)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"petasites fragrans (winter heliotrope)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"petasites hybridus (butterbur)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"petroselinum crispum (garden parsley)","recorded since 1999","alien","&nbsp;yes","&nbsp;","dunston riverside 2004"
"phalaris arundinacea (reed canary-grass)","1987-1999","native","&nbsp;&nbsp;yes","&nbsp;","&nbsp;"
"phalaris canariensis (canary-grass)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"phalaris paradoxa (awned canary-grass)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"phegopteris connectilis (beech fern)","pre-1970","native","extinct","extinct","&nbsp;"
"philadelphus coronarius (mock-orange)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"phleum bertolonii (smaller cat's-tail)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"phleum pratense (timothy)","1987-1999","native","&nbsp;&nbsp;yes","&nbsp;","&nbsp;"
"phragmites australis (common reed)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"phuopsis stylosa (caucasian crosswort)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"phyllitis scolopendrium (hart's-tongue)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"picea abies (norway spruce)","1987-1999","alien","&nbsp;&nbsp;yes","&nbsp;","&nbsp;"
"picea omorika (serbian spruce)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"picea sitchensis (sitka spruce)","1987-1999","alien","yes","&nbsp;","&nbsp;"
"picris echioides (bristly oxtongue)","1970-1986","alien","yes","&nbsp;","&nbsp;timber beach in 2003 / metrocentre 2008/     derwenthaugh 2009"
"picris hieracioides (hawkweed oxtongue)","recorded since 1999","native","yes","&nbsp;","&nbsp;timber beach in 2003 - 2008"
"pilosella aurantiaca (fox-and-cubs)","1987-1999","alien","&nbsp;&nbsp;yes","a","&nbsp;"
"pilosella officinarum (mouse-ear-hawkweed)","1987-1999","native","&nbsp;&nbsp;yes","a","&nbsp;"
"pimpinella major (greater burnet-saxifrage)","1987-1999","native","&nbsp;     yes","&nbsp;","&nbsp;"
"pimpinella saxifraga (burnet-saxifrage)","1987-1999","native","&nbsp;","a","&nbsp;"
"pinguicula vulgaris (common butterwort)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"pinus contorta (lodgepole pine)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"pinus nigra (austrian pine corsican pine)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"pinus pinaster (maritime pine)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"pinus strobus (weymouth pine)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"pinus sylvestris (scots pine)","1987-1999","alien","&nbsp;yes","a","&nbsp;"
"plantago coronopus (buck's-horn plantain)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"plantago lanceolata (ribwort plantain)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"plantago major (greater plantain)","1987-1999","native","yes","&nbsp;","&nbsp;"
"plantago maritima (sea plantain)","1987-1999","native","yes","&nbsp;","&nbsp;"
"plantago media (hoary plantain)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"platanthera bifolia (lesser butterfly-orchid)","pre-1970","native","extinct","extinct","&nbsp;"
"platanthera chlorantha (greater butterfly-orchid)","pre-1970","native","extinct","extinct","&nbsp;"
"poa angustifolia (narrow-leaved meadow-grass)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"poa annua (annual meadow-grass)","1987-1999","native","yes","a","&nbsp;"
"poa compressa (flattened meadow-grass)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"poa humilis (spreading meadow-grass)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"poa nemoralis (wood meadow-grass)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"poa pratensis sens. str. (smooth meadow-grass)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"poa trivialis (rough meadow-grass)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"polemonium caeruleum (jacob's-ladder)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"polygala serpyllifolia (heath milkwort)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"polygala vulgaris (common milkwort)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"polygonatum multiflorum (solomon's-seal)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"polygonatum multiflorum x p. odoratum (garden       solomon's-seal)","1987-1999","alien","&nbsp;","a","&nbsp;"
"polygonum arenastrum (equal-leaved knotgrass)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"polygonum aviculare. (knotgrass)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"polypodium interjectum (intermediate polypody)","1987-1999","native","&nbsp;","&nbsp;","only 1 site -     an isolated site on the banks of the tyne at clara vale."
"polypodium vulgare (polypody)","1970-1986","native","yes","a","&nbsp;"
"polypogon viridis (water bent)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"polystichum aculeatum (hard shield-fern)","1987-1999","native","yes","&nbsp;","&nbsp;"
"polystichum setiferum (soft shield-fern)","1987-1999","native","2003 only","&nbsp;","&nbsp;"
"populus alba (white poplar)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"populus alba x p. tremula (grey poplar)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"populus balsamifera x p. deltoides (balm-of-gilead)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"populus deltoides x p. nigra (hybrid black-poplar)","1987-1999","alien","yes","&nbsp;","&nbsp;"
"populus nigra (fastigiate cultivars) (lombardy-poplars)","1987-1999","alien","yes","&nbsp;","&nbsp;"
"populus nigra subsp. betulifolia (black-poplar)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"populus tremula (aspen)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"populus trichocarpa (western balsam-poplar)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"potamogeton alpinus (red pondweed)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"potamogeton berchtoldii (small pondweed)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;river derwent by rowlands gill"
"potamogeton crispus (curled pondweed)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"potamogeton natans (broad-leaved pondweed)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"potamogeton obtusifolius (blunt-leaved pondweed)","1970-1986","native","2006 only","&nbsp;","&nbsp;"
"potamogeton pectinatus (fennel pondweed)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"potamogeton perfoliatus (perfoliate pondweed)","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"potamogeton polygonifolius (bog pondweed)","1970-1986","native","2003 only","&nbsp;","&nbsp;"
"potamogeton pusillus (lesser pondweed)","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"potentilla anglica (trailing tormentil)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"potentilla anglica x p. erecta","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"potentilla anglica x p. reptans & p. e. (hybrid       cinquefoils)","1970-1986","native","&nbsp;","&nbsp;","&nbsp;chopwell woods in 2003."
"potentilla anserina (silverweed)","1987-1999","native","yes","&nbsp;","&nbsp;"
"potentilla argentea (hoary cinquefoil)","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"potentilla erecta (tormentil)","1987-1999","native","&nbsp;&nbsp;yes","a","&nbsp;"
"potentilla fruticosa (shrubby cinquefoil)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"potentilla norvegica (ternate-leaved cinquefoil)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"potentilla palustris (marsh cinquefoil)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"potentilla reptans (creeping cinquefoil)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"potentilla sterilis (barren strawberry)","1987-1999","native","&nbsp;&nbsp;     yes","a","&nbsp;"
"primula veris (cowslip)","1987-1999","native","&nbsp;&nbsp;yes","a","&nbsp;"
"primula veris x p. vulgaris (false oxlip)","1970-1986","native","&nbsp;     yes","&nbsp;","&nbsp;westfield pasture"
"primula vulgaris (primrose)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"prunella vulgaris (selfheal)","1987-1999","native","yes","a","&nbsp;"
"prunus avium (wild cherry)","1987-1999","native","&nbsp;&nbsp;&nbsp;&nbsp;     yes","a","&nbsp;"
"prunus cerasifera (cherry plum)","1987-1999","alien","yes","a","&nbsp;"
