"table name","table type","rating","# of ratings","historic era","author(s)","download"
"generic girl","original","","","2003","wrenchien","NULL"
"genesis","vpinmame","6.5","2","1986 gottlieb / premier","maurice v/d zwaan","aj"
"genie","solid state","8.6","5","1979 gottlieb","stein","NULL"
"getaway","solid state","6.0","1","1977 allied leisure","eala dubh sidhe","NULL"
"ghostbusters","original","7.0","1","2001","mikepin74","NULL"
"ghouls ghosts and goblins","original","8.5","4","2001","megalast","NULL"
"giant turkeys 2 the","original","","","2003","wrenchien","NULL"
"giant turkeyz the","original","","","2002","wrenchien","NULL"
"giga games #1","original","","","2001","daniel kammerer","NULL"
"giga games #3","original","","","2001","christian","NULL"
"giga games flipper","original","3.0","1","2001","sab2001","NULL"
"giga games rulz","original","3.0","1","2001","?","NULL"
"gigaga","original","3.0","1","2001","?","NULL"
"gigi","electro-mechanical","6.3","3","1963 gottlieb","duglis","NULL"
"gilligan's island","vpinmame","6.4","5","1991 midway mfg. co. a subsidiary of wms industries inc.","joep van de velden & el_condor","aj"
"gladiators","vpinmame","5.5","4","1993 gottlieb / premier","joep","aj"
"glass ghost","original","","","2002","?","NULL"
"global warfare","vpinmame","","","1981 game plan inc.","destruk","aj"
"go to jail","original","","","2003","silly","NULL"
"goblin games","original","7.0","1","2002","martin mortimer","NULL"
"goddess of egypt","original","9.0","1","2002","sphere","NULL"
"godzilla - catch all monsters","original","","","2003","paul e l","NULL"
"godzilla","vpinmame","7.2","6","1998 sega pinball inc.","kid charlemagne & lander","aj"
"goin' nuts","solid state","","","1983 gottlieb","vpm extreme","NULL"
"goin' nuts","vpinmame","7.0","1","1983 gottlieb","luvthatapex","aj"
"gold ball","solid state","7.0","1","1983 bally midway mfg. co.","taren nauxen","NULL"
"gold ball","vpinmame","","","1983 bally midway mfg. co.","taren nauxen","aj"
"gold mine","shuffle bowl","","","1988 williams_electronic games inc.","destruk tab","NULL"
"gold wings","vpinmame","7.0","1","1986 gottlieb / premier","destruk kristian inkochnito","aj"
"golden arrow","electro-mechanical","7.3","4","1977 gottlieb","leon spalding (leo wanker)","NULL"
"golden bells","electro-mechanical","6.5","2","1959 williams electronic manufacturing co.","leon spalding (leo wanker)","NULL"
"golden cue","vpinmame","6.0","1","1998 sega pinball inc.","destruk tab","aj"
"golden gate","historic","","","1934 exhibit supply co.","redswal","irpinball"
"golden gloves","electro-mechanical","7.5","2","1960 williams electronic manufacturing co.","luvthatapex","NULL"
"golden nugget","electro-mechanical","","","1953 genco manufacturing company","druadic","NULL"
"golden nugget","non pinball game","","","1940 mills novelty co.","patrick (liberty)","NULL"
"goldeneye","vpinmame","7.3","6","1996 sega pinball inc.","pingod & kid charlemagne","aj"
"good morning","original","","","2002","wasty","NULL"
"goofy","historic","4.0","1","1932 bally manufacturing corporation","druadic","irpinball"
"goonies","original","","","2001","mikepin74","NULL"
"goonshow3","original","","","2003","?","NULL"
"gorgar","solid state","","","1979 williams electronics inc.","boris","NULL"
"gorgar","vpinmame","7.3","6","1979 williams electronics inc.","boris","aj"
"gork","vpinmame","7.0","1","1982 taito do brazil","eala dubh sidhe destruk","aj"
"gort again","original","","","2003","tii","NULL"
"gort","original","","","2002","tii","NULL"
"grand lizard","vpinmame","5.0","2","1986 williams_electronic games inc.","maurice v/d zwaan","aj"
"grand prix","electro-mechanical","7.5","2","1977 williams electronics inc.","ash","NULL"
"grand slam","vpinmame","7.0","1","1983 bally","kristian and destruk","aj"
"grandmaster","original","","","2003","per thulin","NULL"
"granny and the gators","vpinmame","7.3","3","1984 bally midway mfg. co.","kid charlemagne","aj"
"gray davis: the pinball","original","","","2003","krellan","NULL"
"great circus","electro-mechanical","","","1953 alben (france)","redswal","NULL"
"great rock 'n' roll swindle the","original","8.0","2","2001","nicky special","NULL"
"green pastures","electro-mechanical","","","1954 gottlieb","furio","NULL"
"grizzlee 3002","original","","","2002","wrenchien","NULL"
"grizzlee","original","2.5","2","2002","wrenchien","NULL"
"gulfstream","electro-mechanical","","","1973 williams electronics inc.","compufox","NULL"
"gumball machine","original","","","2001","darkyoshi1","NULL"
"gumball pinball","original","6.0","1","2002","terry briggs","NULL"
"gun moll","original","","","2003","wrenchien","NULL"
"gunfire","original","","","2002","deadfox","NULL"
"guns 'n' roses","vpinmame","7.4","11","1994 data east usa inc.","apocalypse","aj"
"gusher","electro-mechanical","7.0","1","1958 williams  manufacturing company","leon spalding (leo wanker)","NULL"
"guys & dolls","electro-mechanical","8.5","2","1953 gottlieb","bendigo","NULL"
"gypsy queen","electro-mechanical","6.0","2","1955 gottlieb","robair","NULL"
"halloween","original","","","2001","cold1","NULL"
"halo 2","original","","","2002","nicholas b.","NULL"
"hamster!","original","","","2002","misaligned cow ventures","NULL"
"hang glider (bally 1976)","electro-mechanical","","","1976 bally manufacturing corporation","ash","NULL"
"happy clown","electro-mechanical","6.0","1","1964 gottlieb","robair","NULL"
"happy days","electro-mechanical","6.0","2","1952 gottlieb","robair","NULL"
"harbor lites","electro-mechanical","","","1956 gottlieb","robair with help from duglis","NULL"
"hard body","vpinmame","5.5","2","1987 bally midway mfg. co.","destruk & kristian","aj"
"hard rockers","original","","","2001","-","NULL"
"harem cat","solid state","6.3","3","1979 universal (japan)","eala dubh sidhe","NULL"
"harlem globetrotters on tour","solid state","","","1978 bally manufacturing corporation","eala dubh sidhe","NULL"
"harlem globetrotters on tour","vpinmame","6.5","2","1978 bally manufacturing corporation","gaston","aj"
"harlequin","original","","","2003","dizzi [dimortimer]","NULL"
"harley davidson (bally)","solid state","","","1991 midway mfg. co. a subsidiary of wms industries inc.","anonymous","NULL"
"harley davidson (bally)","vpinmame","","","1991 midway mfg. co. a subsidiary of wms industries inc.","NULL","aj"
"harley davidson (sega)","vpinmame","","","1999 sega pinball inc.","destruk and bezeen","aj"
"harry potter and the quest of the silverball","original","1.0","1","2002","m. craig (neo)","NULL"
"harvest moon","original","5.0","1","2002","terry briggs","NULL"
"hater the","original","","","2002","eric helser","NULL"
"haunted house","vpinmame","7.7","10","1982 gottlieb","patatrox","aj"
"haunting the","original","","","2001","imperical","NULL"
"hawkman","solid state","","","1983 taito do brasil","dox","NULL"
"hawkman","vpinmame","","","1983 taito do brasil","nico193 dox maloti destruk","aj"
"hayburners i","electro-mechanical","7.5","2","1951 williams  manufacturing company","duglis","NULL"
"hdtvmania","original","","","2003","wrenchien","NULL"
"head to head basketball","original","2.0","1","2002","?","NULL"
"heat wave","electro-mechanical","","","1964 williams electronic manufacturing co.","duglis","NULL"
"heavier metal","original","","","2003","aardula","NULL"
"heavy hitter","electro-mechanical","7.5","2","1959 bally manufacturing corporation","obx001","NULL"
"heavy metal meltdown","vpinmame","6.0","5","1987 bally midway mfg. co.","galacticgames","aj"
"hello kitty","original","","","2002","obelisk","NULL"
"help! - the beatles","original","","","2001","-","NULL"
"hercules","solid state","7.0","1","1979 atari inc.","eala dubh sidhe","NULL"
"hercules","vpinmame","6.8","6","1979 atari inc.","gaston","aj"
"heretic","original","6.0","1","2003","rockinghorse","NULL"
"he's dead jim","original","","","2002","tii","NULL"
"hexen","original","","","2003 activision & raven","rockinghorse","NULL"
"hi dolly","electro-mechanical","","","1965 gottlieb","marc bouchard","NULL"
"hi-deal","electro-mechanical","7.3","3","1975 bally manufacturing corporation","ash","NULL"
"hi-diver","electro-mechanical","8.0","2","1959 gottlieb","leon spalding","NULL"
"high hand","electro-mechanical","6.4","5","1973 gottlieb","robair","NULL"
"high hill","original","","","2002","wrenchien","NULL"
"high roller casino","vpinmame","5.0","1","2001 stern pinball inc","destruk/tab","aj"
"high seize","original","","","2003","wrenchien","NULL"
"high speed","vpinmame","8.3","6","1986 williams_electronic games inc.","anonymous (corx mod)","aj"
"highlander","original","","","2002","purple_pin","NULL"
"hillbilly hellcats","original","6.0","1","2002","bj","NULL"
"hi-lo ace","electro-mechanical","7.0","1","1973 bally manufacturing corporation","ash","NULL"
"hi-lo","electro-mechanical","","","1969 gottlieb","furio robair (spin a card)","NULL"
"hip hopsburg 2","original","","","2003","wrenchien","NULL"
"hip hopsburg","original","","","2003","wrenchien","NULL"
"hit 'n' run (gottlieb 1952)","electro-mechanical","","","1952 gottlieb","furio","NULL"
"hit the deck","electro-mechanical","7.3","3","1978 gottlieb","eala dubh sidhe","NULL"
"hoe down","solid state","5.0","2","1978 allied leisure industries inc.","bad_crc","NULL"
"hog 2","original","","","2004","wrenchien","NULL"
"hog","original","","","2003","wrenchien","NULL"
"hokus pokus","electro-mechanical","5.7","3","1975 bally manufacturing corporation","steveir & duglis","NULL"
"hollywood heat","vpinmame","6.5","4","1986 gottlieb / premier","gerhard & crew","aj"
"home run","electro-mechanical","7.7","3","1971 gottlieb","jay phillips","NULL"
"honeycomb","original","5.0","1","2002","wrenchien","NULL"
"honey","electro-mechanical","","","1972 williams electronics inc.","starman7007","NULL"
"hook","vpinmame","9.0","2","1992 data east usa inc.","pingod el_condor destruk datadragon kristian joep apocalypse","aj"
"hoops","vpinmame","","","1991 gottlieb / premier","destruk tab","aj"
"horseshoes","electro-mechanical","","","1951 williams  manufacturing company","redswal","NULL"
"hot doggin'","solid state","7.0","1","1979 bally manufacturing corporation","coroner & joe entropy","NULL"
"hot doggin'","vpinmame","7.0","2","1979 bally manufacturing corporation","joe entropy coroner destruk","aj"
"hot hand","vpinmame","5.0","1","1979 stern electronics inc.","destruk","aj"
"hot line","electro-mechanical","5.7","3","1966 williams electronic manufacturing co.","leon spalding (leo wanker)","NULL"
"hot rods","original","","","2002","pinman","NULL"
"hot shot basketball","vpinmame","","","1992 williams_electronic games inc.","destruk & tab","aj"
"hot shot","electro-mechanical","6.7","3","1973 gottlieb","robair","NULL"
"hot shots","vpinmame","8.3","3","1989 gottlieb / premier","destruk","aj"
"hot shower","original","4.0","1","2002","wrenchien","NULL"
"hot tip","vpinmame","4.0","1","1977 williams electronics inc.","gerhard & crew","aj"
"hot wheels racing","original","5.0","1","2002","john jr joe cold1","NULL"
"hot wheels","vpinmame","6.0","1","1979 zaccaria (italy)","destruk & subzero","aj"
"hotel st raphael","original","9.5","2","2002","patatrox","NULL"
"hour flowers","original","","","2003","sanoi","NULL"
"house of diamonds","vpinmame","5.0","1","1978 zaccaria (italy)","luvthatapex & destruk","aj"
"houston time","original","","","2002","wrenchien","NULL"
"howdy buckaroo","original","","","2003","tii","NULL"
"howzat!","vpinmame","7.0","1","1980 a. hankin & co.","aussie34","aj"
"hp deskjet 610c","original","","","2002","o_morton","NULL"
"hulk the","original","","","2003","utplayer2","NULL"
"humpty dumpty","electro-mechanical","8.0","1","1947 gottlieb","duglis and robair","NULL"
"hunter the","solid state","5.0","2","1980 bell coin matic","gerhard & crew","NULL"
"hurricane","vpinmame","9.0","1","1991 williams_electronic games inc.","kid charlemagne","aj"
"hyper drives","original","","","2002","wrenchien","NULL"
"hyperball","vpinmame","","","1981 williams electronics inc.","gaston destruk tab & kristian","aj"
"hypnoball","original","6.0","1","2003","andrew mortimer","NULL"
"i am santa claus","original","8.0","1","2001","cold1","NULL"
"i hate crickets","original","4.0","1","2002","wrenchien","NULL"
"ice fever","vpinmame","6.0","3","1985 gottlieb / premier","destruk","aj"
"ice show","electro-mechanical","6.3","3","1966 gottlieb","duglis","NULL"
"ignacio pinball","original","","","2001","ignacio","NULL"
"ignition","computer game remake","","","2001 digital illusions","thg & helios","NULL"
"illaby","original","","","2003","wrenchien","NULL"
"illusion- the magic box","original","6.0","1","2001","tpillow","NULL"
"i'm an alien head","original","","","2004","tii","NULL"
"image","original","8.0","1","2003","furio","NULL"
"impacto","electro-mechanical","","","1975 recreativos franco","luvthatapex","NULL"
"impressionism","original","","","2002","erwin","NULL"
"incredible hulk the","solid state","3.5","2","1979 gottlieb","germax","NULL"
"independence day","vpinmame","7.7","7","1996 sega pinball inc.","gerhard & crew","aj"
"indiana jones","pinmame","9.0","1","1993 williams_electronic games inc.","destruk / bluetex / pk / jive","NULL"
"indiana jones","vpinmame","8.3","12","1993 williams_electronic games inc.","bluetex & destruk (mod by corx)","aj"
"indianapolis 500","vpinmame","8.5","8","1995 midway mfg. co. a subsidiary of wms industries inc.","biffman","aj"
"inflippersane","original","","","2003","anthias","NULL"
"infomercial","original","","","2002","-","NULL"
"initial d pinball stage","original","10.0","1","2004","neo (mark c.)","NULL"
"inner city life","original","7.5","2","2002","roland scholz","NULL"
"insanity dome ii the","original","","","2002","terry briggs","NULL"
"insanity dome the","original","","","2002","terry briggs","NULL"
"inside rout","original","","","2003","wrenchien","NULL"
"inspecteur gadget","original","7.0","1","2002","ripleyyy & anthony","NULL"
"interplanetary","original","","","2002","tii","NULL"
"irish drove","original","","","2003","wrenchien","NULL"
"iron maiden","original","5.0","1","2003","subzero1970","NULL"
"iron maiden","vpinmame","","","1981 stern electronics inc.","destruk & skalar","aj"
"island gilligans series","original","","","2002","tex","NULL"
"israel","original","","","2002","sir mordecae","NULL"
"jack in the box","electro-mechanical","7.3","3","1973 gottlieb","leon spalding w/c. drum art","NULL"
"jack 'n' jill","electro-mechanical","","","1948 gottlieb","robair","NULL"
"jack o' lantern","original","","","2002","tii","NULL"
"jack-bot","vpinmame","9.5","12","1995 williams_electronic games inc.","dan roth","aj"
"jacks to open","vpinmame","6.5","2","1984 gottlieb / mylstar electronics","mnpg","aj"
"jacktherabbit","original","","","2004","wil","NULL"
"james bond 007","vpinmame","","","1980 gottlieb","luvthatapex","aj"
"jazz band","original","","","2002","tpillow","NULL"
"jb wiz","original","","","2001","jim burrill","NULL"
"jesus pinball","original","","","2003","nick mancini","NULL"
"jetsons the","original","8.6","8","2001","stein","NULL"
"jim jam industrial","original","","","2002","wrenchien","NULL"
"jimjam regatta","original","","","2003","wrenchien","NULL"
"jimjam","original","","","2002","wrenchien","NULL"
"jimmy das gummipferd","electro-mechanical","6.7","3","1950 mun-ma","cyberyogi","NULL"
"jmj pinball","original","","","2001","jmj","NULL"
"johnny mnemonic","vpinmame","6.5","4","1995 williams_electronic games inc.","dr-doom kabuki jo and plumb","aj"
"joker poker","solid state","7.0","5","1978 gottlieb","leon spalding","NULL"
"jokerz!","vpinmame","6.7","6","1988 williams_electronic games inc.","aj","aj"
"joust (bally)","electro-mechanical","","","1968 bally manufacturing corporation","ash","NULL"
"joust","vpinmame","7.0","1","1983 williams electronics inc.","unknown","aj"
"joyride 2","original","","","2003","wrenchien","NULL"
"joyride","original","","","2003","wrenchien","NULL"
"jubilee","electro-mechanical","","","1973 williams electronics inc.","andreas andee plesnik","NULL"
"judge dredd","vpinmame","8.3","6","1993 midway mfg. co. a subsidiary of wms industries inc.","pacdude","aj"
"juggle ball","flipperless","6.0","1","1932 rock-ola mfg. corp.","druadic","pinball nirvana"
"juggler","original","","","2002","bj","NULL"
"july 4th 2003","original","","","2003","j.eagle","NULL"
"june bee","original","","","2003","wrenchien","NULL"
"jungle king","electro-mechanical","7.0","1","1972 gottlieb","luvthatapex","NULL"
"jungle lord","vpinmame","10.0","1","1981 williams electronics inc.","gerhard & crew","aj"
"jungle princess","electro-mechanical","7.7","3","1977 gottlieb","(brettski) brett warner","NULL"
"jungle","electro-mechanical","","","1972 gottlieb","luvthatapex (using bendigos template)","NULL"
"junk yard","vpinmame","8.9","14","1996 williams_electronic games inc.","aurian & pingod","aj"
"jurassic park the lost world","vpinmame","8.2","6","1997 sega pinball inc.","pingod & aj","aj"
"jurassic park","vpinmame","8.1","13","1993 data east usa inc.","pingod","aj"
"just 21","electro-mechanical","6.0","1","1950 gottlieb","icepagoda","NULL"
"katies","original","5.0","1","2002","wrenchien","NULL"
"kc jones","electro-mechanical","7.0","1","1949 gottlieb","duglis & erwin","NULL"
"keebs","original","","","2002","eric helser","NULL"
"kewpie doll","electro-mechanical","","","1960 gottlieb","hugh janus","NULL"
"keyboard frenzy flipperless","original","","","2003","bob5453","NULL"
"keyboard frenzy","original","","","2003","bob5453","NULL"
"kick off","electro-mechanical","","","1976 bally manufacturing corporation","ash","NULL"
"kill em all","non pinball game","1.0","1","2002","?","NULL"
"king of diamonds","electro-mechanical","","","1967 gottlieb","bob mackey","NULL"
"king of the tube","original","","","2004","dizzidi","NULL"
"king pin","electro-mechanical","8.0","1","1973 gottlieb","robair/leon","NULL"
"king rock","electro-mechanical","4.0","1","1972 gottlieb","robair","NULL"
"king star","non pinball game","","","2003 sankyo","patrick (liberty)","NULL"
"king tut's tomb","original","7.0","1","2002","terry briggs","NULL"
"kingpin","vpinmame","","","1996 capcom coin-op inc.","destruk/unclereamus","aj"
"kings & queens","electro-mechanical","6.0","1","1965 gottlieb","mikepin74 & duglis","NULL"
"kings checkers","flipperless","5.0","1","1934 genco manufacturing company","druadic","pinball nirvana"
"kings of steel","solid state","8.0","1","1984 bally midway mfg. co.","eala dubh","NULL"
"kings of steel","vpinmame","","","1984 bally midway mfg. co.","eala dubh & joe entropy","aj"
"kings","electro-mechanical","8.0","2","1957 williams  manufacturing company","duglis","NULL"
"kiss extreme","original","9.0","1","2003","desangel & gottlieb","NULL"
"kiss","solid state","","","1978 bally manufacturing corporation","madgun68 & desangel","NULL"
"kiss","vpinmame","7.3","3","1978 bally manufacturing corporation","wpcmame","aj"
"kites of spring","original","","","2003","wrenchien","NULL"
"klondike","electro-mechanical","8.0","1","1971 williams electronics inc.","leon spalding","NULL"
"knick knack","original","7.0","1","2002","kinsey","NULL"
"knight rider","original","","","2003","john prescott","NULL"
"knightfall","original","","","2003","j.eagle","NULL"
"knock my f'n teeth out","original","","","2001","cold1","NULL"
"knock out","electro-mechanical","7.0","1","1950 gottlieb","gottlieb","NULL"
"knockout","electro-mechanical","7.0","1","1975 bally manufacturing corporation","ash","NULL"
"kogalon","original","3.0","1","2002","wrenchien","NULL"
"koi","original","6.0","1","2002","wrenchien","NULL"
"krotze 2","original","","","2003","wrenchien","NULL"
"krotze","original","","","2003","wrenchien","NULL"
"krull","solid state","","","1983 gottlieb","eala dubh sidhe","NULL"
"krull","vpinmame","6.3","3","1983 gottlieb","luvthatapex & eala dubh sidhe","aj"
"la roulette","original","","","2004","arumco","NULL"
"lab the","original","","","2003","martin mortimer","NULL"
"lady death","vpinmame","6.0","1","1985 geiger","luvthatapex","aj"
"lady luck (petaco 1976)","electro-mechanical","","","1976 petaco","eala dubh","NULL"
"lady luck (taito)","vpinmame","","","1981 taito do brasil","destruk/tab/jeff/gaston/dox/silvio finotti","aj"
"lady luck","vpinmame","7.0","4","1986 bally midway mfg. co.","destruk","aj"
"lady robin hood","electro-mechanical","8.0","1","1948 gottlieb","robair","NULL"
"lady sharpshooter","solid state","","","1985 game plan inc.","destruk lander apocalypse jbl_fun","NULL"
"lady sharpshooter","vpinmame","5.0","1","1985 game plan inc.","destruk lander apocalypse","aj"
"lafftrak 2","original","","","2004","wrenchien","NULL"
"lafftrak","original","","","2003","wrenchien","NULL"
"lamamba","original","4.0","1","2002","wrenchien","NULL"
"lancers","electro-mechanical","7.0","1","1961 gottlieb","patrick","NULL"
"laser ball","solid state","","","1979 williams electronics inc.","gerhard & crew","NULL"
"laser ball","vpinmame","6.0","2","1979 williams electronics inc.","gerhard s","aj"
"laser cue","vpinmame","","","1984 williams electronics inc.","cutter","aj"
"laser war","vpinmame","","","1987 data east usa inc.","destruk & desangel","aj"
"last action hero","vpinmame","8.3","7","1993 data east usa inc.","pingod","aj"
"last lap","solid state","7.0","1","1978 playmatic","eala dubh","NULL"
"lawman","electro-mechanical","5.0","1","1971 gottlieb","hugh janus","NULL"
"league champ","shuffle bowl","","","1996 midway mfg. co. a subsidiary of wms industries inc","destruk and apocalypse","NULL"
"lectronamo tutorial vpinmame","vpinmame","","","1978 stern electronics inc.","destruk skalar and nedo","aj"
"lectronamo","vpinmame","5.5","2","1978 stern electronics inc.","destruk skalar nedo","aj"
"lemon drop","original","","","2003","kinsey","NULL"
"lethal weapon 3","solid state","","","1992 data east usa inc.","zaphod","NULL"
"lethal weapon 3","vpinmame","8.4","8","1992 data east usa inc.","joep & pingod","aj"
"l'hexagone","solid state","7.0","1","1986 christian tabart (france)","gerhard & crew","NULL"
"liberty belle","electro-mechanical","","","1962 gottlieb","ale (alexandru cobzas)","NULL"
"liberty bell","electro-mechanical","7.0","1","1977 williams electronics inc.","ash","NULL"
"lightning","original","","","2002","brendan bailey","NULL"
"lightning","vpinmame","6.0","1","1981 stern electronics inc.","satch & destruk & skalar","aj"
"lights camera action!","vpinmame","7.0","2","1989 gottlieb / premier","kristian mnpg destruk","aj"
"lilo & stitch","original","5.0","1","2002","ripleyyy","NULL"
"linux pinball","original","","","2001","spike","NULL"
"lite a line","electro-mechanical","8.0","2","1952 jh keeney and co.","druadic","NULL"
"little joe","electro-mechanical","4.0","1","1971 bally manufacturing corporation","druadic (modified by irpinball)","NULL"
"live hard","original","","","2004","wrenchien","NULL"
"live power","flipperless","6.0","1","1942 exhibit supply co.","druadic","pinball nirvana"
"llamadness","original","","","2004","wrenchien","NULL"
"loch ness monster (gameplan 1985)","solid state","7.0","1","1985 game plan inc.","eala dubh","NULL"
"lochness monster","original","","","2001","?","NULL"
"locomotion","solid state","6.0","1","1981 zaccaria (italy)","operatore07","NULL"
"locomotion","vpinmame","","","1981 zaccaria (italy)","luvthatapex & destruk","aj"
"log cabin","flipperless","7.0","2","1904 caille brothers","druadic","pinball nirvana"
"looney tunes","original","5.5","2","2001","ripleyyy","NULL"
"lost in space","vpinmame","6.2","5","1998 sega pinball inc.","unknown","aj"
"lost in the woods","original","7.0","1","2001","tpillow","NULL"
"lost world","solid state","","","1977 bally manufacturing corporation","joe entropy & ripleyyy","NULL"
"lost world","vpinmame","7.0","4","1977 bally manufacturing corporation","joe entropy & ripleyyy","aj"
"lotto machine 6 aus 49","original","2.0","1","2001","gerhard & crew","NULL"
"lovechild","original","","","2004","wrenchien","NULL"
"lucky 7's wip","original","","","2003","-","NULL"
"lucky ace","electro-mechanical","","","1974 williams electronic manufacturing corp.","jim leon spalding","NULL"
"lucky horseshoes (unknown)","flipperless","","","1933 stoner","druadic","pinball nirvana"
"lucky luke","original","","","2002","erwin","NULL"
"lucky seven","vpinmame","8.0","1","1978 williams electronics inc.","?","aj"
"lukeworm shower","original","","","2003","wrenchien","NULL"
"mach two","vpinmame","","","1995 spinball","destruk/tab/maior","aj"
"machine bride of pinbot the","vpinmame","7.6","9","1991 williams_electronic games inc.","bublehead","aj"
"mad dash","original","","","2003","tii","NULL"
"mad mag","original","","","2004","bob5453","NULL"
"mad scientist","original","7.0","1","2003","sandw.-meister","NULL"
"magic castle","vpinmame","6.0","1","1984 zaccaria (italy)","luvthatapex / jive","aj"
"magic circle","electro-mechanical","7.0","1","1965 bally manufacturing corporation","leon spalding","NULL"
"magic city","electro-mechanical","","","1967 williams electronic manufacturing co.","duglis christopher drum (art) & eala dubh","NULL"
"magic fruit slots","non pinball game","5.0","1","2002","aussie34","NULL"
"magic the gathering","original","","","2002","mitchell","NULL"
"magic town","electro-mechanical","","","1967 williams electronic manufacturing corp.","duglis","NULL"
"magic","vpinmame","3.5","4","1979 stern electronics inc.","gerhard & crew","aj"
"magnetic zero","original","","","2003","wrenchien","NULL"
"magnification","original","","","2001","sphere","NULL"
"magnotron","electro-mechanical","6.7","3","1974 gottlieb","hugh janus","NULL"
"majorettes","electro-mechanical","7.0","1","1964 gottlieb","robair","NULL"
"make room for ballroom","original","","","2003","ingrid jansen","NULL"
"mammoth","flipperless","5.0","1","1935 jh keeney and co.","druadic","pinball nirvana"
"man that's one big pig","original","","","2004","tii","NULL"
"maradona","original","","","2003","carletto","NULL"
"mardi gras","electro-mechanical","6.0","1","1962 williams electronic manufacturing co.","duglis","NULL"
"mariner","electro-mechanical","7.0","1","1971 bally manufacturing corporation","jay phillips","NULL"
"mario andretti","vpinmame","7.5","2","1995 gottlieb / premier","darth soudiuos","aj"
"mario kart","original","","","2002","?","NULL"
"mario's tee shot","original","8.0","2","2001","scott","NULL"
"mars bumper","original","","","2002","tii","NULL"
"mars god of war","solid state","","","1981 gottlieb","gerhard & crew","NULL"
"mars god of war","vpinmame","6.0","4","1981 gottlieb","gerhard & germax","aj"
"mars trek","electro-mechanical","6.0","2","1977 sonic","eala dubh","NULL"
"marvin the martian","original","","","2003","proginoskes","NULL"
"mary shelley's frankenstein","vpinmame","6.9","8","1995 sega pinball inc.","krellan","aj"
"master mind","original","4.0","1","2002","4eyes","NULL"
"master stroke","electro-mechanical","7.0","1","1977 petaco","eala dubh","NULL"
"mata hari","solid state","7.0","1","1978 bally manufacturing corporation","sleepy","NULL"
"mata hari","vpinmame","5.0","1","1977 bally manufacturing corporation","jeff & gaston","aj"
"matissa","original","","","2003","martin mortimer","NULL"
"matrix the","original","","","2001","?","NULL"
"matter of time","original","","","2002","?","NULL"
"maverick","vpinmame","7.0","1","1994 data east usa inc.","halftech destruk mrhide","aj"
"max payne","original","7.5","2","2002","greg cymbalist","NULL"
"may bee revolution","original","5.0","1","2002","wrenchien","NULL"
"may bee","original","5.0","1","2002","wrenchien","NULL"
"meat's super training machine ii","original","","","2003","hakyoku seiken","NULL"
"medieval madness","vpinmame","8.8","17","1997 williams_electronic games inc.","joxer rock & snotz","aj"
"medusa","vpinmame","6.7","3","1981 bally manufacturing corporation","neurokinetik","aj"
"mega man iii","original","","","2002","jeff block","NULL"
"mega man pinball","original","","","2002","wired","NULL"
"meganic","original","","","2002","wrenchien","NULL"
"melody","electro-mechanical","","","1967 gottlieb","redswal","NULL"
"memory lane","vpinmame","6.6","5","1978 stern electronics inc.","leo wanker & joe entropy","aj"
"memory zone","original","5.0","1","2002","bob5453","NULL"
"merry go round","electro-mechanical","7.0","1","1960 gottlieb","xtremediver","NULL"
"mesa","original","","","2003","wrenchien","NULL"
"messier marathon","original","","","2002","ian l parr","NULL"
"metal marine","original","","","2002","tii","NULL"
"meteor (stern)","vpinmame","7.0","1","1979 stern electronics inc.","andre","aj"
"meteor (taito)","vpinmame","","","198? taito do brasil","andre tab destruk","aj"
"metro","flipperless","7.0","2","1940 genco mfg. co.","duglis","pinball nirvana"
"mexico '86","solid state","","","1986 zaccaria (italy)","operatore07","NULL"
"mexico '86","vpinmame","6.0","1","1986 zaccaria (italy)","luvthatapex destruk","aj"
"mexico city","original","","","2003","wrenchien","NULL"
"mibs","electro-mechanical","","","1969 gottlieb","orvo (modified by irpinball)","NULL"
"mickey mouse club pinball","toy","","","197? wolverine toys","destruk","NULL"
"microball","original","4.0","1","2002","wrenchien","NULL"
"middle earth","solid state","","","1978 atari inc.","ash/cyberyogi","NULL"
"middle earth","vpinmame","","","1978 atari inc.","ash cyberyogi destruk","aj"
"midget hi-ball","flipperless","6.5","2","1932 peo manufacturing","druadic","pinball nirvana"
"midget skee ball","non pinball game","","","1949 chicago coin machine mfg. co.","marc sagovac aka obx001 and duglis","NULL"
"midi sample table","tutorial","1.0","1","2001","mr. ralphman/destruk","NULL"
"midnight magic","computer game remake","6.0","1","2001","david britten","NULL"
"mike bossy","solid state","7.7","3","1982 game plan inc.","eala dubh","NULL"
"millionaire","vpinmame","7.2","5","1987 williams_electronic games inc.","bluejaywpg","aj"
"mind funk","original","8.0","1","2002","will power (w.jacobs)","NULL"
"mindstorm","original","","","2003","wrenchien","NULL"
"mini brickyard","original","4.0","1","2002","wrenchien","NULL"
"mini golf","electro-mechanical","5.0","1","1964 williams electronic manufacturing co.","obx001 aka marc sagovac","NULL"
"minigolf","non pinball game","7.0","1","2001","robbway","NULL"
"minstrel man","electro-mechanical","7.0","2","1951 gottlieb","duglis","NULL"
"misfits pinball","original","","","2003","nick mancini","NULL"
"miss annabelle","electro-mechanical","6.0","1","1959 gottlieb","marc bouchard","NULL"
"miss universe","original","8.0","1","2001","sphere","NULL"
"miss world","vpinmame","6.0","1","1985 komplet flipper (germany)","tab","aj"
"mixpin","original","","","2003","ser","NULL"
