"collegesort","citysort","representativesort","statesort","district","zip codesort"
"wingate university","wingate","robin hayes","nc","8","28174"
"cabarrus college of health sciences","concord","robin hayes","nc","8","28025"
"richmond community college","hamlet","robin hayes","nc","8","28345"
"king's college","charlotte","robin hayes","nc","8","28204"
"south piedmont community college","polkton","robin hayes","nc","8","28135"
"stanly community college","albemarle","robin hayes","nc","8","28001"
"belmont abbey college","belmont","sue wilkins myrick","nc","9","28012"
"queens university of charlotte","charlotte","sue wilkins myrick","nc","9","28274"
"gaston college","dallas","sue wilkins myrick","nc","9","28034"
"gardner - webb university","boiling springs","patrick t. mchenry","nc","10","28017"
"western piedmont community college","morganton","patrick t. mchenry","nc","10","28655"
"lenoir-rhyne college","hickory","patrick t. mchenry","nc","10","28601"
"caldwell community college & technical institute","hudson","patrick t. mchenry","nc","10","28638"
"cleveland community college","shelby","patrick t. mchenry","nc","10","28150"
"mayland community college","spruce pine","patrick t. mchenry","nc","10","28777"
"catawba valley community college","hickory","patrick t. mchenry","nc","10","28602"
"tri-county community college","murphy","charles h. taylor","nc","11","28906"
"asheville buncombe technical community college","asheville","charles h. taylor","nc","11","28801"
"montreat college","montreat","charles h. taylor","nc","11","28757"
"blue ridge community college","flat rock","charles h. taylor","nc","11","28731"
"brevard college","brevard","charles h. taylor","nc","11","28712"
"south college","asheville","charles h. taylor","nc","11","28816"
"southwestern community college","sylva","charles h. taylor","nc","11","28779"
"mars hill college","mars hill","charles h. taylor","nc","11","28754"
"western carolina university","cullowhee","charles h. taylor","nc","11","28723"
"isothermal community college","spindale","charles h. taylor","nc","11","28160"
"university of north carolina at asheville","asheville","charles h. taylor","nc","11","28804"
"warren wilson college","swannanoa","charles h. taylor","nc","11","28778"
"mcdowell technical community college","marion","charles h. taylor","nc","11","28752"
"haywood community college","clyde","charles h. taylor","nc","11","28721"
"livingstone college","salisbury","melvin l. watt","nc","12","28144"
"bennett college","greensboro","melvin l. watt","nc","12","27401"
"high point university","high point","melvin l. watt","nc","12","27262"
"wake forest university","winston-salem","melvin l. watt","nc","12","27109"
"art institute of charlotte (the)","charlotte","melvin l. watt","nc","12","28217"
"hood theological seminary","salisbury","melvin l. watt","nc","12","28144"
"davidson college","davidson","melvin l. watt","nc","12","28035"
"davidson county community college","lexington","melvin l. watt","nc","12","27293"
"north carolina school of the arts","winston-salem","melvin l. watt","nc","12","27127"
"salem college","winston-salem","melvin l. watt","nc","12","27101"
"charlotte mecklenburg hospital authority","charlotte","melvin l. watt","nc","12","28232"
"johnson c smith university","charlotte","melvin l. watt","nc","12","28216"
"catawba college","salisbury","melvin l. watt","nc","12","28144"
"north carolina agricultural & technical state university","greensboro","melvin l. watt","nc","12","27411"
"guilford technical community college","jamestown","melvin l. watt","nc","12","27282"
"winston - salem state university","winston-salem","melvin l. watt","nc","12","27110"
"piedmont baptist college","winston salem","melvin l. watt","nc","12","27101"
"university of north carolina - charlotte","charlotte","melvin l. watt","nc","12","28223"
"rowan cabarrus community college","salisbury","melvin l. watt","nc","12","28145"
"school of communication arts of north carolina","raleigh","brad miller","nc","13","27614"
"peace college","raleigh","brad miller","nc","13","27604"
"university of north carolina - greensboro","greensboro","brad miller","nc","13","27412"
"rockingham community college","wentworth","brad miller","nc","13","27375"
"saint augustines college","raleigh","brad miller","nc","13","27610"
"shaw university","raleigh","brad miller","nc","13","27601"
"guilford college","greensboro","brad miller","nc","13","27410"
"meredith college","raleigh","brad miller","nc","13","27607"
"piedmont community college","roxboro","brad miller","nc","13","27573"
"greensboro college","greensboro","brad miller","nc","13","27401"
"united tribes technical college","bismarck","earl pomeroy","nd","a-l","58504"
"trinity bible college","ellendale","earl pomeroy","nd","a-l","58436"
"minot state university - bottineau","bottineau","earl pomeroy","nd","a-l","58318"
"mayville state university","mayville","earl pomeroy","nd","a-l","58257"
"aaker's business college","fargo","earl pomeroy","nd","a-l","58103"
"fort berthold community college","new town","earl pomeroy","nd","a-l","58763"
"sitting bull college","fort yates","earl pomeroy","nd","a-l","58538"
"medcenter one college of nursing","bismarck","earl pomeroy","nd","a-l","58501"
"jamestown college","jamestown","earl pomeroy","nd","a-l","58405"
"turtle mountain community college","belcourt","earl pomeroy","nd","a-l","58316"
"university of north dakota","grand forks","earl pomeroy","nd","a-l","58202"
"north dakota state college of science","wahpeton","earl pomeroy","nd","a-l","58076"
"minot state university","minot","earl pomeroy","nd","a-l","58707"
"university of mary","bismarck","earl pomeroy","nd","a-l","58504"
"bismarck state college","bismarck","earl pomeroy","nd","a-l","58501"
"cankdeska cikana (little hoop) community college","fort totten","earl pomeroy","nd","a-l","58335"
"lake region state college","devils lake","earl pomeroy","nd","a-l","58301"
"north dakota state university - main campus - fargo","fargo","earl pomeroy","nd","a-l","58105"
"valley city state university","valley city","earl pomeroy","nd","a-l","58072"
"williston state college","williston","earl pomeroy","nd","a-l","58801"
"dickinson state university","dickinson","earl pomeroy","nd","a-l","58601"
"northeast community college","norfolk","jeff fortenberry","ne","1","68702"
"southeast community college","lincoln","jeff fortenberry","ne","1","68520"
"nebraska wesleyan university","lincoln","jeff fortenberry","ne","1","68504"
"doane college","crete","jeff fortenberry","ne","1","68333"
"midland lutheran college","fremont","jeff fortenberry","ne","1","68025"
"nebraska christian college","norfolk","jeff fortenberry","ne","1","68701"
"myotherapy institute","lincoln","jeff fortenberry","ne","1","68516"
"concordia university","seward","jeff fortenberry","ne","1","68434"
"little priest tribal college","winnebago","jeff fortenberry","ne","1","68071"
"dana college","blair","jeff fortenberry","ne","1","68008"
"wayne state college","wayne","jeff fortenberry","ne","1","68787"
"university of nebraska","lincoln","jeff fortenberry","ne","1","68588"
"union college","lincoln","jeff fortenberry","ne","1","68506"
"peru state college","peru","jeff fortenberry","ne","1","68421"
"nebraska indian community college","macy","jeff fortenberry","ne","1","68039"
"university of nebraska - omaha","omaha","lee terry","ne","2","68182"
"vatterott college","omaha","lee terry","ne","2","68137"
"nebraska methodist college of nursing & allied health","omaha","lee terry","ne","2","68114"
"grace university","omaha","lee terry","ne","2","68108"
"creighton university","omaha","lee terry","ne","2","68178"
"clarkson college","omaha","lee terry","ne","2","68131"
"vatterott college","omaha","lee terry","ne","2","68114"
"bellevue university","bellevue","lee terry","ne","2","68005"
"university of nebraska medical center","omaha","lee terry","ne","2","68198"
"creative center (the)","omaha","lee terry","ne","2","68164"
"college of saint mary","omaha","lee terry","ne","2","68124"
"metropolitan community college","omaha","lee terry","ne","2","68111"
"chadron state college","chadron","tom osborne","ne","3","69337"
"hastings college","hastings","tom osborne","ne","3","68901"
"york college","york","tom osborne","ne","3","68467"
"mid-plains community college","north platte","tom osborne","ne","3","69101"
"university of nebraska - kearney","kearney","tom osborne","ne","3","68849"
"western nebraska community college","scottsbluff","tom osborne","ne","3","69361"
"nebraska college of technical agriculture","curtis","tom osborne","ne","3","69025"
"central community college","grand island","tom osborne","ne","3","68801"
"mcintosh college","dover","jeb bradley","nh","1","3820"
"hesser college","manchester","jeb bradley","nh","1","3103"
"thomas more college of  liberal arts","merrimack","jeb bradley","nh","1","3054"
"southern new hampshire university","manchester","jeb bradley","nh","1","3106"
"saint anselm college","manchester","jeb bradley","nh","1","3102"
"chester college of new england","chester","jeb bradley","nh","1","3036"
"university of new hampshire","durham","jeb bradley","nh","1","3824"
"new hampshire institute of art","manchester","jeb bradley","nh","1","3104"
"new hampshire community technical college at manchester/stra","manchester","jeb bradley","nh","1","3102"
"lebanon college","lebanon","charles f. bass","nh","2","3766"
"franklin pierce college","rindge","charles f. bass","nh","2","3461"
"college for lifelong learning","concord","charles f. bass","nh","2","3301"
"colby-sawyer college","new london","charles f. bass","nh","2","3257"
"new hampshire technical college at nashua/claremont","nashua","charles f. bass","nh","2","3063"
"dartmouth college","hanover","charles f. bass","nh","2","3755"
"keene state college","keene","charles f. bass","nh","2","3435"
"new hampshire technical institute","concord","charles f. bass","nh","2","3301"
"new england college","henniker","charles f. bass","nh","2","3242"
"rivier college","nashua","charles f. bass","nh","2","3060"
"upper valley teacher institute","lebanon","charles f. bass","nh","2","3766"
"new hampshire communitytechnical college at berlin/laconia","berlin","charles f. bass","nh","2","3570"
"franklin pierce law center","concord","charles f. bass","nh","2","3301"
"plymouth state university of the university system of new ha","plymouth","charles f. bass","nh","2","3264"
"daniel webster college","nashua","charles f. bass","nh","2","3063"
"camden county college","blackwood","robert e. andrews","nj","1","8012"
"gloucester county college","sewell","robert e. andrews","nj","1","8080"
"rowan university","glassboro","robert e. andrews","nj","1","8028"
"cumberland county college","vineland","frank a. lobiondo","nj","2","8362"
"salem community college","carneys point","frank a. lobiondo","nj","2","8069"
"atlantic cape community college","mays landing","frank a. lobiondo","nj","2","8330"
"richard stockton college of new jersey (the)","pomona","frank a. lobiondo","nj","2","8240"
"ocean county college","toms river","jim saxton","nj","3","8754"
"burlington county college - pemberton campus","pemberton","jim saxton","nj","3","8068"
"georgian court university","lakewood","christopher h. smith","nj","4","8701"
"talmudical academy","adelphia","christopher h. smith","nj","4","7710"
"mercer county community college","trenton","christopher h. smith","nj","4","8690"
"beth medrash govoha of america","lakewood","christopher h. smith","nj","4","8701"
"saint francis medical center","trenton","christopher h. smith","nj","4","8629"
"warren county community college","washington","scott garrett","nj","5","7882"
"bergen community college","paramus","scott garrett","nj","5","7652"
"sussex county community college","newton","scott garrett","nj","5","7860"
"ramapo college of new jersey","mahwah","scott garrett","nj","5","7430"
"centenary college","hackettstown","scott garrett","nj","5","7840"
"middlesex county college","edison","frank pallone jr.","nj","6","8818"
"rutgers the state university of new jersey","new brunswick","frank pallone jr.","nj","6","8901"
"rabbi jacob joseph school","edison","frank pallone jr.","nj","6","8817"
"new brunswick theological seminary","new brunswick","frank pallone jr.","nj","6","8901"
"monmouth university","west long branch","frank pallone jr.","nj","6","7764"
"union county college","cranford","mike ferguson","nj","7","7016"
"berkeley college","west paterson","bill pascrell jr.","nj","8","7424"
"passaic county community college","paterson","bill pascrell jr.","nj","8","7505"
"montclair state university","upper montclair","bill pascrell jr.","nj","8","7043"
"william paterson university of new jersey","wayne","bill pascrell jr.","nj","8","7470"
"bloomfield college","bloomfield","bill pascrell jr.","nj","8","7003"
"felician college","lodi","steven r. rothman","nj","9","7644"
"fairleigh dickinson university","teaneck","steven r. rothman","nj","9","7666"
"new jersey city university","jersey city","donald m. payne","nj","10","7305"
"essex county college","newark","donald m. payne","nj","10","7102"
"gibbs college","montclair","donald m. payne","nj","10","7042"
"university of medicine & dentistry of new jersey","newark","donald m. payne","nj","10","7107"
"kean university","union","donald m. payne","nj","10","7083"
"new jersey institute of technology","newark","donald m. payne","nj","10","7102"
"seton hall university","south orange","donald m. payne","nj","10","7079"
"raritan valley community college","north branch","rodney p. frelinghuysen","nj","11","8876"
"drew university","madison","rodney p. frelinghuysen","nj","11","7940"
"college of saint elizabeth","morristown","rodney p. frelinghuysen","nj","11","7960"
"county college of morris","randolph","rodney p. frelinghuysen","nj","11","7869"
"rabbinical college of america","morristown","rodney p. frelinghuysen","nj","11","7960"
"caldwell college","caldwell","rodney p. frelinghuysen","nj","11","7006"
"rider university","lawrenceville","rush d. holt","nj","12","8648"
"princeton university","princeton","rush d. holt","nj","12","8544"
"college of new jersey (the)","ewing","rush d. holt","nj","12","8628"
"princeton theological seminary","princeton","rush d. holt","nj","12","8540"
"thomas a edison state college","trenton","rush d. holt","nj","12","8608"
"brookdale community college","lincroft","rush d. holt","nj","12","7738"
"saint peter's college","jersey city","robert menendez","nj","13","7306"
"hudson county community college","jersey city","robert menendez","nj","13","7306"
"stevens institute of technology","hoboken","robert menendez","nj","13","7030"
"southwestern indian polytechnic institute","albuquerque","heather wilson","nm","1","87120"
"metropolitan college","albuquerque","heather wilson","nm","1","87110"
"university of new mexico","albuquerque","heather wilson","nm","1","87131"
"albuquerque technical vocational institute","albuquerque","heather wilson","nm","1","87106"
"new mexico junior college","hobbs","stevan pearce","nm","2","88240"
"new mexico state university","las cruces","stevan pearce","nm","2","88003"
"new mexico military institute","roswell","stevan pearce","nm","2","88201"
"new mexico institute of mining & technology","socorro","stevan pearce","nm","2","87801"
"college of the southwest","hobbs","stevan pearce","nm","2","88242"
"western new mexico university","silver city","stevan pearce","nm","2","88061"
"eastern new mexico university","portales","tom udall","nm","3","88130"
"luna community college","las vegas","tom udall","nm","3","87701"
"southwestern college","santa fe","tom udall","nm","3","87507"
"college of santa fe (the)","santa fe","tom udall","nm","3","87505"
"crownpoint institute of technology","crownpoint","tom udall","nm","3","87313"
"clovis community college","clovis","tom udall","nm","3","88101"
"northern new mexico community college","el rito","tom udall","nm","3","87530"
"santa fe community college","santa fe","tom udall","nm","3","87507"
"saint john's college","santa fe","tom udall","nm","3","87501"
"mesalands community college","tucumcari","tom udall","nm","3","88401"
"new mexico highlands university","las vegas","tom udall","nm","3","87701"
"institute of american indian & alaska natl culture & arts de","santa fe","tom udall","nm","3","87508"
"southwest acupuncture college","santa fe","tom udall","nm","3","87505"
"san juan college","farmington","tom udall","nm","3","87402"
"heritage college","las vegas","shelley berkley","nv","1","89102"
"community college of southern nevada","north las vegas","shelley berkley","nv","1","89030"
"university of nevada - las vegas","las vegas","shelley berkley","nv","1","89154"
"university of nevada - reno","reno","jim gibbons","nv","2","89557"
"career college of northern nevada","reno","jim gibbons","nv","2","89502"
"great basin college","elko","jim gibbons","nv","2","89801"
"morrison university","reno","jim gibbons","nv","2","89521"
"sierra nevada college","incline village","jim gibbons","nv","2","89450"
"western nevada community college","carson city","jim gibbons","nv","2","89703"
"truckee meadows community college","reno","jim gibbons","nv","2","89512"
"art institute of las vegas (the)","henderson","jon c. porter","nv","3","89074"
"las vegas college","las vegas","jon c. porter","nv","3","89103"
"state university of new york at stony brook","stony brook","timothy h. bishop","ny","1","11794"
"suffolk county community college","selden","timothy h. bishop","ny","1","11784"
"long island university - southampton college","southampton","timothy h. bishop","ny","1","11968"
"state university of new york at farmingdale","farmingdale","steve israel","ny","2","11735"
"five towns college","dix hills","steve israel","ny","2","11746"
"long island business institute","commack","steve israel","ny","2","11725"
"dowling college","oakdale","steve israel","ny","2","11769"
"seminary of the immaculate conception","huntington","steve israel","ny","2","11743"
"katharine gibbs school (the)","melville","steve israel","ny","2","11747"
"island drafting & technical institute","amityville","peter t. king","ny","3","11701"
"webb institute","glen cove","peter t. king","ny","3","11542"
"new york college of health professions","syosset","peter t. king","ny","3","11791"
"new york institute of technology","old westbury","peter t. king","ny","3","11568"
"briarcliffe college","bethpage","peter t. king","ny","3","11714"
"rabbinical college of long island","long beach","peter t. king","ny","3","11561"
"molloy college","rockville centre","carolyn mccarthy","ny","4","11570"
"hofstra university","hempstead","carolyn mccarthy","ny","4","11549"
"new york college of traditional chinese medicine","mineola","carolyn mccarthy","ny","4","11501"
"suny college at old westbury","old westbury","carolyn mccarthy","ny","4","11568"
"adelphi university","garden city","carolyn mccarthy","ny","4","11530"
"business informatics center","valley stream","carolyn mccarthy","ny","4","11580"
"shor yoshuv rabbinical college","lawrence","carolyn mccarthy","ny","4","11559"
"nassau community college","garden city","carolyn mccarthy","ny","4","11530"
"long island university","brookville","gary l. ackerman","ny","5","11548"
"queensborough community college-cuny","bayside","gary l. ackerman","ny","5","11364"
"cuny school of law at queens college","flushing","gary l. ackerman","ny","5","11367"
"united states merchant marine academy","kings point","gary l. ackerman","ny","5","11024"
"saint vincents catholic medical centers of new york bklyn &q","fresh meadows","gary l. ackerman","ny","5","11365"
"cuny york college","jamaica","gregory w. meeks","ny","6","11451"
"saint john's university","jamaica","gregory w. meeks","ny","6","11439"
"yeshiva shaar hatorah","kew gardens","gregory w. meeks","ny","6","11418"
"plaza college","jackson heights","joseph crowley","ny","7","11372"
"college of aeronautics","flushing","joseph crowley","ny","7","11371"
"suny maritime college","bronx","joseph crowley","ny","7","10465"
"swedish institute","new york","jerrold nadler","ny","8","10001"
"rabbinical college bobover yeshiva bnei zion","brooklyn","jerrold nadler","ny","8","11219"
"yeshiva derech chaim","brooklyn","jerrold nadler","ny","8","11218"
"rabbinical college ch'san sofer of new york","brooklyn","jerrold nadler","ny","8","11204"
"machzikei hadath rabbinical college","brooklyn","jerrold nadler","ny","8","11204"
"training solutions","new york","jerrold nadler","ny","8","10036"
"cuny john jay college of criminal justice","new york","jerrold nadler","ny","8","10019"
"graduate school of figurative art (the)","new york","jerrold nadler","ny","8","10013"
"art institute of new york city (the)","new york","jerrold nadler","ny","8","10013"
"tri-state college of acupuncture","new york","jerrold nadler","ny","8","10011"
"taylor business institute","new york","jerrold nadler","ny","8","10011"
"cuny borough of manhattan community college","new york","jerrold nadler","ny","8","10007"
"mirrer yeshiva central institute","brooklyn","jerrold nadler","ny","8","11223"
"fashion institute of technology","new york","jerrold nadler","ny","8","10001"
"yeshivas novominsk","brooklyn","jerrold nadler","ny","8","11219"
"mesivta of eastern parkway rabbinical seminary","brooklyn","jerrold nadler","ny","8","11218"
"yeshiva karlin stolin","brooklyn","jerrold nadler","ny","8","11204"
"pace university","new york","jerrold nadler","ny","8","10038"
"american musical & dramatic academy","new york","jerrold nadler","ny","8","10023"
"american academy mcallister institute","new york","jerrold nadler","ny","8","10019"
"metropolitan college of new york","new york","jerrold nadler","ny","8","10013"
"hebrew union college jewish institute of religion","new york","jerrold nadler","ny","8","10012"
"new school university","new york","jerrold nadler","ny","8","10011"
"touro college","new york","jerrold nadler","ny","8","10010"
"cooper union for the advancement of science & art (the)","new york","jerrold nadler","ny","8","10003"
"rabbinical seminary mkor chaim","brooklyn","jerrold nadler","ny","8","11219"
"technical career institutes","new york","jerrold nadler","ny","8","10001"
"yeshiva gedolah imrei yosef d'spinka","brooklyn","jerrold nadler","ny","8","11219"
"beth hatalmud rabbinical college","brooklyn","jerrold nadler","ny","8","11214"
"beth hamedrash shaarei yosher institute","brooklyn","jerrold nadler","ny","8","11204"
"new york career institute","new york","jerrold nadler","ny","8","10038"
"juilliard school (the)","new york","jerrold nadler","ny","8","10023"
"interboro institute","new york","jerrold nadler","ny","8","10019"
"new york law school","new york","jerrold nadler","ny","8","10013"
"new york university","new york","jerrold nadler","ny","8","10012"
"general theological seminary of the episcopal church (the)","new york","jerrold nadler","ny","8","10011"
"globe institute of technology","new york","jerrold nadler","ny","8","10007"
"bramson ort college","forest hills","anthony d. weiner","ny","9","11375"
"kingsborough commmunity college/cuny","brooklyn","anthony d. weiner","ny","9","11235"
"rabbinical seminary of america","flushing","anthony d. weiner","ny","9","11367"
"yeshivat mikdash melech","brooklyn","anthony d. weiner","ny","9","11230"
"cuny queens college","flushing","anthony d. weiner","ny","9","11367"
"torah temimah talmudical seminary","brooklyn","anthony d. weiner","ny","9","11218"
"yeshiva of nitra rabbinical college","brooklyn","edolphus towns","ny","10","11211"
"cuny brooklyn college","brooklyn","edolphus towns","ny","10","11210"
"long island university - brooklyn","brooklyn","edolphus towns","ny","10","11201"
"new york city college of technology of the city university o","brooklyn","edolphus towns","ny","10","11201"
"united talmudical seminary","brooklyn","edolphus towns","ny","10","11211"
"saint joseph's college","brooklyn","edolphus towns","ny","10","11205"
"polytechnic university","brooklyn","edolphus towns","ny","10","11201"
"asa institute of business & computer technology","brooklyn","edolphus towns","ny","10","11201"
"rabbinical seminary of adas yereim","brooklyn","edolphus towns","ny","10","11211"
"rabbinical college of ohr shimon yisroel","brooklyn","edolphus towns","ny","10","11211"
"pratt institute","brooklyn","edolphus towns","ny","10","11205"
"brooklyn law school","brooklyn","edolphus towns","ny","10","11201"
"institute of design & construction","brooklyn","edolphus towns","ny","10","11201"
"rabbinical academy mesivta rabbi chaim berlin","brooklyn","major r. owens","ny","11","11230"
"cuny medgar evers college","brooklyn","major r. owens","ny","11","11225"
"state university of new york downstate medical center","brooklyn","major r. owens","ny","11","11203"
"yeshiva & kollel harbotzas torah","brooklyn","major r. owens","ny","11","11230"
"mesivta torah vodaath rabbinical seminary","brooklyn","major r. owens","ny","11","11218"
"saint francis college","brooklyn heights","major r. owens","ny","11","11201"
"central yeshiva tomchei tmimim lubavitz","brooklyn","major r. owens","ny","11","11230"
"gamla college","brooklyn","major r. owens","ny","11","11230"
"talmudical seminary oholei torah","brooklyn","major r. owens","ny","11","11213"
"mesivtha tifereth jerusalem of america","new york","nydia m. vel�zquez","ny","12","10002"
"darkei noam rabbinical college","brooklyn","nydia m. vel�zquez","ny","12","11220"
"professional business college","new york","nydia m. vel�zquez","ny","12","10002"
"long island college hospital - school of nursing","brooklyn","nydia m. vel�zquez","ny","12","11201"
"college of staten island/cuny","staten island","vito fossella","ny","13","10314"
"saint vincents catholic medical centers of new york-staten i","staten island","vito fossella","ny","13","10304"
"wagner college","staten island","vito fossella","ny","13","10301"
"mount sinai school of medicine of new york university","new york","carolyn b. maloney","ny","14","10029"
"cuny hunter college","new york","carolyn b. maloney","ny","14","10021"
"katharine gibbs school (the)","new york","carolyn b. maloney","ny","14","10018"
"new york university school of medicine","new york","carolyn b. maloney","ny","14","10016"
"school of visual arts","new york","carolyn b. maloney","ny","14","10010"
"cuny laguardia community college","long island city","carolyn b. maloney","ny","14","11101"
"laboratory institute of merchandising","new york","carolyn b. maloney","ny","14","10022"
"cornell university medical college","new york","carolyn b. maloney","ny","14","10021"
"berkeley college","new york","carolyn b. maloney","ny","14","10017"
"american academy of dramatic arts","new york","carolyn b. maloney","ny","14","10016"
"cuny bernard m baruch","new york","carolyn b. maloney","ny","14","10010"
"suny college of optometry","new york","carolyn b. maloney","ny","14","10036"
"new york school of interior design","new york","carolyn b. maloney","ny","14","10021"
"marymount manhattan college","new york","carolyn b. maloney","ny","14","10021"
"cuny graduate school & university center","new york","carolyn b. maloney","ny","14","10016"
"wood tobe - coburn school","new york","carolyn b. maloney","ny","14","10016"
"phillips beth israel school of nursing","new york","carolyn b. maloney","ny","14","10010"
"yeshiva university","new york","charles b. rangel","ny","15","10033"
"teachers college columbia university","new york","charles b. rangel","ny","15","10027"
"jewish theological seminary of america (the)","new york","charles b. rangel","ny","15","10027"
"bank street college of education","new york","charles b. rangel","ny","15","10025"
"new york college of podiatric medicine","new york","charles b. rangel","ny","15","10035"
"boricua college","new york","charles b. rangel","ny","15","10032"
"union theological seminary","new york","charles b. rangel","ny","15","10027"
"columbia university in the city of new york","new york","charles b. rangel","ny","15","10027"
"helene fuld college of nursing north general hospital","new york","charles b. rangel","ny","15","10035"
"city college of new york - cuny","new york","charles b. rangel","ny","15","10031"
"manhattan school of music","new york","charles b. rangel","ny","15","10027"
"barnard college","new york","charles b. rangel","ny","15","10027"
"fordham university","bronx","jos� e. serrano","ny","16","10458"
"cuny bronx community college","bronx","jos� e. serrano","ny","16","10453"
"monroe college","bronx","jos� e. serrano","ny","16","10468"
"cuny hostos community college","bronx","jos� e. serrano","ny","16","10451"
"saint thomas aquinas college","sparkill","eliot l. engel","ny","17","10976"
"yeshiva d'monsey","monsey","eliot l. engel","ny","17","10952"
"yeshivath viznitz","monsey","eliot l. engel","ny","17","10952"
"yeshiva shaarei torah of rockland","suffern","eliot l. engel","ny","17","10901"
"dorothea hopfer school of nursing at the mount vernon hospit","mount vernon","eliot l. engel","ny","17","10550"
"yeshiva of the telshe alumni","riverdale","eliot l. engel","ny","17","10471"
"dominican college of blauvelt","orangeburg","eliot l. engel","ny","17","10962"
"rabbinical college of yeshiva and kolel bais medrosh elyon a","monsey","eliot l. engel","ny","17","10952"
"rabbinical college beth shraga","monsey","eliot l. engel","ny","17","10952"
"rockland community college","suffern","eliot l. engel","ny","17","10901"
"manhattan college","riverdale","eliot l. engel","ny","17","10471"
"cuny lehman college","bronx","eliot l. engel","ny","17","10468"
"nyack college","nyack","eliot l. engel","ny","17","10960"
"kol yaakov torah center","monsey","eliot l. engel","ny","17","10952"
"ohr somayach institutes","monsey","eliot l. engel","ny","17","10952"
"saint joseph's seminary and college","yonkers","eliot l. engel","ny","17","10704"
"college of mount saint vincent","riverdale","eliot l. engel","ny","17","10471"
"concordia college","bronxville","nita m. lowey","ny","18","10708"
"college of westchester (the)","white plains","nita m. lowey","ny","18","10606"
"suny college at purchase","purchase","nita m. lowey","ny","18","10577"
"iona college","new rochelle","nita m. lowey","ny","18","10801"
"saint vladimirs orthodox theological seminary","crestwood","nita m. lowey","ny","18","10707"
"new york medical college","valhalla","nita m. lowey","ny","18","10595"
"manhattanville college","purchase","nita m. lowey","ny","18","10577"
"sarah lawrence college","bronxville","nita m. lowey","ny","18","10708"
"cochran school of nursing saint john's riverside hosp","yonkers","nita m. lowey","ny","18","10701"
"suny westchester community college","valhalla","nita m. lowey","ny","18","10595"
"mercy college","dobbs ferry","nita m. lowey","ny","18","10522"
"college of new rochelle (the)","new rochelle","nita m. lowey","ny","18","10805"
"vassar college","poughkeepsie","sue w. kelly","ny","19","12604"
"kehilath yakov rabbinical seminary","ossining","sue w. kelly","ny","19","10562"
"marist college","poughkeepsie","sue w. kelly","ny","19","12601"
"chubb institute (the)","new york","sue w. kelly","ny","19","10019"
"ohr hameir theological seminary","peekskill","sue w. kelly","ny","19","10566"
"suny empire state college","saratoga springs","john e. sweeney","ny","20","12866"
"adirondack community college - suny office of community coll","queensbury","john e. sweeney","ny","20","12804"
"columbia - greene community college - suny office of cmnty c","hudson","john e. sweeney","ny","20","12534"
"suny college of technology at delhi","delhi","john e. sweeney","ny","20","13753"
"skidmore college","saratoga springs","john e. sweeney","ny","20","12866"
"dutchess community college","poughkeepsie","john e. sweeney","ny","20","12601"
"unification theological seminary","barrytown","john e. sweeney","ny","20","12507"
"north country community college","saranac lake","john e. sweeney","ny","20","12983"
"word of life bible institute","pottersville","john e. sweeney","ny","20","12860"
"culinary institute of america","hyde park","john e. sweeney","ny","20","12538"
"bard college","annandale-on-hudson","john e. sweeney","ny","20","12504"
"albany law school of union university","albany","michael r. mcnulty","ny","21","12208"
"bryant & stratton business institute-albany","albany","michael r. mcnulty","ny","21","12205"
"sage colleges","troy","michael r. mcnulty","ny","21","12180"
"hudson valley community college","troy","michael r. mcnulty","ny","21","12180"
"suny college of agriculture & technology at cobleskill","cobleskill","michael r. mcnulty","ny","21","12043"
"ellis hospital school of nursing","schenectady","michael r. mcnulty","ny","21","12308"
"siena college","loudonville","michael r. mcnulty","ny","21","12211"
"albany college of pharmacy","albany","michael r. mcnulty","ny","21","12208"
"memorial hospital school of nursing","albany","michael r. mcnulty","ny","21","12204"
"rensselaer polytechnic institute","troy","michael r. mcnulty","ny","21","12180"
"mildred elley","latham","michael r. mcnulty","ny","21","12110"
"schenectady county community college","schenectady","michael r. mcnulty","ny","21","12305"
"albany medical college","albany","michael r. mcnulty","ny","21","12208"
"maria college","albany","michael r. mcnulty","ny","21","12208"
"college of saint rose","albany","michael r. mcnulty","ny","21","12203"
"samaritan hospital school of nursing","troy","michael r. mcnulty","ny","21","12180"
"suny fulton-montgomery community college","johnstown","michael r. mcnulty","ny","21","12095"
"union college","schenectady","michael r. mcnulty","ny","21","12308"
"state university of new york at albany","albany","michael r. mcnulty","ny","21","12222"
"state university of new york at binghamton","binghamton","maurice d. hinchey","ny","22","13902"
"sullivan county community college - suny office of community","loch sheldrake","maurice d. hinchey","ny","22","12759"
"suny ulster county community college","stone ridge","maurice d. hinchey","ny","22","12484"
"cornell university","ithaca","maurice d. hinchey","ny","22","14853"
"broome community college","binghamton","maurice d. hinchey","ny","22","13902"
"state university of new york at new paltz","new paltz","maurice d. hinchey","ny","22","12561"
"orange county community college","middletown","maurice d. hinchey","ny","22","10940"
"ithaca college","ithaca","maurice d. hinchey","ny","22","14850"
"yeshivath zichron moshe","south fallsburg","maurice d. hinchey","ny","22","12779"
"mount saint mary college","newburgh","maurice d. hinchey","ny","22","12550"
"state university of new york college at potsdam","potsdam","john m. mchugh","ny","23","13676"
"jefferson community college","watertown","john m. mchugh","ny","23","13601"
"suny college at oswego","oswego","john m. mchugh","ny","23","13126"
